x,y,z,mass,face_id,layer_id,density_input,mu
3.48697000e-02,3.10878625e-03,4.08886250e-02,4.81130692e+05,1,2,1.72700000e+00,3.21111496e-14
5.81161667e-02,5.18131042e-03,6.81477083e-02,1.30592616e+06,1,3,1.72700000e+00,8.71588346e-14
8.13626333e-02,7.25383458e-03,9.54067917e-02,2.54311937e+06,1,4,1.72700000e+00,1.69730362e-13
1.04609100e-01,9.32635875e-03,1.22665875e-01,4.19271032e+06,1,5,1.72700000e+00,2.79825732e-13
1.27855567e-01,1.13988829e-02,1.49924958e-01,6.25469900e+06,1,6,1.72700000e+00,4.17444945e-13
1.51102033e-01,1.34714071e-02,1.77184042e-01,8.72908541e+06,1,7,1.72700000e+00,5.82588000e-13
1.74348500e-01,1.55439312e-02,2.04443125e-01,1.16158696e+07,1,8,1.72700000e+00,7.75254897e-13
1.97594967e-01,1.76164554e-02,2.31702208e-01,1.49150515e+07,1,9,1.72700000e+00,9.95445637e-13
2.20841433e-01,1.96889796e-02,2.58961292e-01,1.86266311e+07,1,10,1.72700000e+00,1.24316022e-12
2.44087900e-01,2.17615037e-02,2.86220375e-01,2.27506084e+07,1,11,1.72700000e+00,1.51839864e-12
2.67334367e-01,2.38340279e-02,3.13479458e-01,2.72869835e+07,1,12,1.72700000e+00,1.82116091e-12
2.90580833e-01,2.59065521e-02,3.40738542e-01,3.22357564e+07,1,13,1.72700000e+00,2.15144702e-12
3.13827300e-01,2.79790763e-02,3.67997625e-01,3.75969269e+07,1,14,1.72700000e+00,2.50925698e-12
3.37073767e-01,3.00516004e-02,3.95256708e-01,4.33704952e+07,1,15,1.72700000e+00,2.89459077e-12
3.60320233e-01,3.21241246e-02,4.22515792e-01,4.95564613e+07,1,16,1.72700000e+00,3.30744841e-12
3.83566700e-01,3.41966488e-02,4.49774875e-01,5.61548250e+07,1,17,1.72700000e+00,3.74782989e-12
4.06813167e-01,3.62691729e-02,4.77033958e-01,6.31655866e+07,1,18,1.72700000e+00,4.21573521e-12
4.30059633e-01,3.83416971e-02,5.04293042e-01,7.05887458e+07,1,19,1.72700000e+00,4.71116438e-12
4.53306100e-01,4.04142213e-02,5.31552125e-01,7.84243028e+07,1,20,1.72700000e+00,5.23411738e-12
4.76552567e-01,4.24867454e-02,5.58811208e-01,8.66722575e+07,1,21,1.72700000e+00,5.78459423e-12
4.99799033e-01,4.45592696e-02,5.86070292e-01,9.53326100e+07,1,22,1.72700000e+00,6.36259493e-12
5.23045500e-01,4.66317938e-02,6.13329375e-01,1.04405360e+08,1,23,1.72700000e+00,6.96811946e-12
5.46291967e-01,4.87043179e-02,6.40588458e-01,1.13890508e+08,1,24,1.72700000e+00,7.60116784e-12
5.69538433e-01,5.07768421e-02,6.67847542e-01,1.23788054e+08,1,25,1.72700000e+00,8.26174006e-12
5.92784900e-01,5.28493662e-02,6.95106625e-01,1.34097997e+08,1,26,1.72700000e+00,8.94983612e-12
6.16031367e-01,5.49218904e-02,7.22365708e-01,1.44820338e+08,1,27,1.72700000e+00,9.66545603e-12
6.39277833e-01,5.69944146e-02,7.49624792e-01,1.55955077e+08,1,28,1.72700000e+00,1.04085998e-11
6.62524300e-01,5.90669387e-02,7.76883875e-01,1.67502214e+08,1,29,1.72700000e+00,1.11792674e-11
6.85770767e-01,6.11394629e-02,8.04142958e-01,1.79461748e+08,1,30,1.72700000e+00,1.19774588e-11
7.09017233e-01,6.32119871e-02,8.31402042e-01,1.91833680e+08,1,31,1.72700000e+00,1.28031741e-11
7.32263700e-01,6.52845112e-02,8.58661125e-01,2.04618010e+08,1,32,1.72700000e+00,1.36564132e-11
7.55510167e-01,6.73570354e-02,8.85920208e-01,2.17814738e+08,1,33,1.72700000e+00,1.45371761e-11
7.78756633e-01,6.94295596e-02,9.13179292e-01,2.31423863e+08,1,34,1.72700000e+00,1.54454630e-11
8.02003100e-01,7.15020838e-02,9.40438375e-01,2.45445386e+08,1,35,1.72700000e+00,1.63812736e-11
8.25249567e-01,7.35746079e-02,9.67697458e-01,2.59879307e+08,1,36,1.72700000e+00,1.73446081e-11
8.48496033e-01,7.56471321e-02,9.94956542e-01,2.74725625e+08,1,37,1.72700000e+00,1.83354664e-11
8.71742500e-01,7.77196563e-02,1.02221563e+00,2.89984341e+08,1,38,1.72700000e+00,1.93538486e-11
8.94988967e-01,7.97921804e-02,1.04947471e+00,3.05655455e+08,1,39,1.72700000e+00,2.03997546e-11
9.18235433e-01,8.18647046e-02,1.07673379e+00,3.21738967e+08,1,40,1.72700000e+00,2.14731845e-11
1.74348500e-02,1.55439312e-03,2.04443125e-02,6.87329560e+04,1,1,1.72700000e+00,4.58730708e-15
3.21565750e-02,4.13643500e-03,4.05346250e-02,3.90302455e+05,2,2,1.72700000e+00,2.60491811e-14
5.35942917e-02,6.89405833e-03,6.75577083e-02,1.05939238e+06,2,3,1.72700000e+00,7.07049200e-14
7.50320083e-02,9.65168167e-03,9.45807917e-02,2.06302726e+06,2,4,1.72700000e+00,1.37688528e-13
9.64697250e-02,1.24093050e-02,1.21603875e-01,3.40120711e+06,2,5,1.72700000e+00,2.27000006e-13
1.17907442e-01,1.51669283e-02,1.48626958e-01,5.07393191e+06,2,6,1.72700000e+00,3.38639354e-13
1.39345158e-01,1.79245517e-02,1.75650042e-01,7.08120168e+06,2,7,1.72700000e+00,4.72606571e-13
1.60782875e-01,2.06821750e-02,2.02673125e-01,9.42301641e+06,2,8,1.72700000e+00,6.28901657e-13
1.82220592e-01,2.34397983e-02,2.29696208e-01,1.20993761e+07,2,9,1.72700000e+00,8.07524613e-13
2.03658308e-01,2.61974217e-02,2.56719292e-01,1.51102807e+07,2,10,1.72700000e+00,1.00847544e-12
2.25096025e-01,2.89550450e-02,2.83742375e-01,1.84557304e+07,2,11,1.72700000e+00,1.23175413e-12
2.46533742e-01,3.17126683e-02,3.10765458e-01,2.21357249e+07,2,12,1.72700000e+00,1.47736070e-12
2.67971458e-01,3.44702917e-02,3.37788542e-01,2.61502645e+07,2,13,1.72700000e+00,1.74529513e-12
2.89409175e-01,3.72279150e-02,3.64811625e-01,3.04993490e+07,2,14,1.72700000e+00,2.03555743e-12
3.10846892e-01,3.99855383e-02,3.91834708e-01,3.51829784e+07,2,15,1.72700000e+00,2.34814761e-12
3.32284608e-01,4.27431617e-02,4.18857792e-01,4.02011528e+07,2,16,1.72700000e+00,2.68306565e-12
3.53722325e-01,4.55007850e-02,4.45880875e-01,4.55538722e+07,2,17,1.72700000e+00,3.04031156e-12
3.75160042e-01,4.82584083e-02,4.72903958e-01,5.12411366e+07,2,18,1.72700000e+00,3.41988534e-12
3.96597758e-01,5.10160317e-02,4.99927042e-01,5.72629459e+07,2,19,1.72700000e+00,3.82178699e-12
4.18035475e-01,5.37736550e-02,5.26950125e-01,6.36193001e+07,2,20,1.72700000e+00,4.24601651e-12
4.39473192e-01,5.65312783e-02,5.53973208e-01,7.03101993e+07,2,21,1.72700000e+00,4.69257390e-12
4.60910908e-01,5.92889017e-02,5.80996292e-01,7.73356435e+07,2,22,1.72700000e+00,5.16145916e-12
4.82348625e-01,6.20465250e-02,6.08019375e-01,8.46956327e+07,2,23,1.72700000e+00,5.65267229e-12
5.03786342e-01,6.48041483e-02,6.35042458e-01,9.23901668e+07,2,24,1.72700000e+00,6.16621329e-12
5.25224058e-01,6.75617717e-02,6.62065542e-01,1.00419246e+08,2,25,1.72700000e+00,6.70208216e-12
5.46661775e-01,7.03193950e-02,6.89088625e-01,1.08782870e+08,2,26,1.72700000e+00,7.26027889e-12
5.68099492e-01,7.30770183e-02,7.16111708e-01,1.17481039e+08,2,27,1.72700000e+00,7.84080350e-12
