# x y z potential pseudo_potential
-1.5000000000e+00 -1.5000000000e+00 0.0000000000e+00 6.9883745435e-07 -7.0645288985e-07
-1.4696969697e+00 -1.5000000000e+00 0.0000000000e+00 7.0140755820e-07 -7.0887070052e-07
-1.4393939394e+00 -1.5000000000e+00 0.0000000000e+00 7.0392790213e-07 -7.1124185931e-07
-1.4090909091e+00 -1.5000000000e+00 0.0000000000e+00 7.0640268634e-07 -7.1357056640e-07
-1.3787878788e+00 -1.5000000000e+00 0.0000000000e+00 7.0883610987e-07 -7.1586102083e-07
-1.3484848485e+00 -1.5000000000e+00 0.0000000000e+00 7.1123233105e-07 -7.1811738093e-07
-1.3181818182e+00 -1.5000000000e+00 0.0000000000e+00 7.1359543308e-07 -7.2034372991e-07
-1.2878787879e+00 -1.5000000000e+00 0.0000000000e+00 7.1592939445e-07 -7.2254404625e-07
-1.2575757576e+00 -1.5000000000e+00 0.0000000000e+00 7.1823806377e-07 -7.2472217857e-07
-1.2272727273e+00 -1.5000000000e+00 0.0000000000e+00 7.2052513849e-07 -7.2688182432e-07
-1.1969696970e+00 -1.5000000000e+00 0.0000000000e+00 7.2279414696e-07 -7.2902651183e-07
-1.1666666667e+00 -1.5000000000e+00 0.0000000000e+00 7.2504843340e-07 -7.3115958534e-07
-1.1363636364e+00 -1.5000000000e+00 0.0000000000e+00 7.2729114521e-07 -7.3328419224e-07
-1.1060606061e+00 -1.5000000000e+00 0.0000000000e+00 7.2952522241e-07 -7.3540327256e-07
-1.0757575758e+00 -1.5000000000e+00 0.0000000000e+00 7.3175338855e-07 -7.3751954984e-07
-1.0454545455e+00 -1.5000000000e+00 0.0000000000e+00 7.3397814307e-07 -7.3963552352e-07
-1.0151515152e+00 -1.5000000000e+00 0.0000000000e+00 7.3620175464e-07 -7.4175346228e-07
-9.8484848485e-01 -1.5000000000e+00 0.0000000000e+00 7.3842625530e-07 -7.4387539815e-07
-9.5454545455e-01 -1.5000000000e+00 0.0000000000e+00 7.4065343530e-07 -7.4600312139e-07
-9.2424242424e-01 -1.5000000000e+00 0.0000000000e+00 7.4288483834e-07 -7.4813817569e-07
-8.9393939394e-01 -1.5000000000e+00 0.0000000000e+00 7.4512175724e-07 -7.5028185388e-07
-8.6363636364e-01 -1.5000000000e+00 0.0000000000e+00 7.4736522985e-07 -7.5243519379e-07
-8.3333333333e-01 -1.5000000000e+00 0.0000000000e+00 7.4961603516e-07 -7.5459897443e-07
-8.0303030303e-01 -1.5000000000e+00 0.0000000000e+00 7.5187468967e-07 -7.5677371229e-07
-7.7272727273e-01 -1.5000000000e+00 0.0000000000e+00 7.5414144379e-07 -7.5895965780e-07
-7.4242424242e-01 -1.5000000000e+00 0.0000000000e+00 7.5641627849e-07 -7.6115679190e-07
-7.1212121212e-01 -1.5000000000e+00 0.0000000000e+00 7.5869890206e-07 -7.6336482289e-07
-6.8181818182e-01 -1.5000000000e+00 0.0000000000e+00 7.6098874700e-07 -7.6558318329e-07
-6.5151515152e-01 -1.5000000000e+00 0.0000000000e+00 7.6328496725e-07 -7.6781102701e-07
-6.2121212121e-01 -1.5000000000e+00 0.0000000000e+00 7.6558643566e-07 -7.7004722692e-07
-5.9090909091e-01 -1.5000000000e+00 0.0000000000e+00 7.6789174190e-07 -7.7229037269e-07
-5.6060606061e-01 -1.5000000000e+00 0.0000000000e+00 7.7019919107e-07 -7.7453876940e-07
-5.3030303030e-01 -1.5000000000e+00 0.0000000000e+00 7.7250680304e-07 -7.7679043694e-07
-5.0000000000e-01 -1.5000000000e+00 0.0000000000e+00 7.7481231306e-07 -7.7904311056e-07
-4.6969696970e-01 -1.5000000000e+00 0.0000000000e+00 7.7711317387e-07 -7.8129424298e-07
-4.3939393939e-01 -1.5000000000e+00 0.0000000000e+00 7.7940655970e-07 -7.8354100846e-07
-4.0909090909e-01 -1.5000000000e+00 0.0000000000e+00 7.8168937279e-07 -7.8578030921e-07
-3.7878787879e-01 -1.5000000000e+00 0.0000000000e+00 7.8395825270e-07 -7.8800878482e-07
-3.4848484848e-01 -1.5000000000e+00 0.0000000000e+00 7.8620958910e-07 -7.9022282493e-07
-3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 7.8843953821e-07 -7.9241858578e-07
-2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 7.9064404330e-07 -7.9459201062e-07
-2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 7.9281885923e-07 -7.9673885434e-07
-2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 7.9495958092e-07 -7.9885471183e-07
-1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 7.9706167509e-07 -8.0093504984e-07
-1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 7.9912051477e-07 -8.0297524138e-07
-1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 8.0113141531e-07 -8.0497060180e-07
-1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 8.0308967084e-07 -8.0691642523e-07
-7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 8.0499058988e-07 -8.0880802021e-07
-4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 8.0682952894e-07 -8.1064074321e-07
-1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 8.0860192279e-07 -8.1241002904e-07
1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 8.1030331063e-07 -8.1411141688e-07
4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 8.1192935689e-07 -8.1574057117e-07
7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 8.1347586610e-07 -8.1729329642e-07
1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 8.1493879097e-07 -8.1876554536e-07
1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 8.1631423358e-07 -8.2015342007e-07
1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 8.1759843968e-07 -8.2145316628e-07
1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 8.1878778688e-07 -8.2266116164e-07
2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 8.1987876790e-07 -8.2377389882e-07
2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 8.2086797017e-07 -8.2478796528e-07
2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 8.2175205350e-07 -8.2570002083e-07
3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 8.2252772717e-07 -8.2650677473e-07
3.4848484848e-01 -1.5000000000e+00 0.0000000000e+00 8.2319172752e-07 -8.2720496335e-07
3.7878787879e-01 -1.5000000000e+00 0.0000000000e+00 8.2374079730e-07 -8.2779132942e-07
4.0909090909e-01 -1.5000000000e+00 0.0000000000e+00 8.2417166762e-07 -8.2826260404e-07
4.3939393939e-01 -1.5000000000e+00 0.0000000000e+00 8.2448104373e-07 -8.2861549249e-07
4.6969696970e-01 -1.5000000000e+00 0.0000000000e+00 8.2466559615e-07 -8.2884666527e-07
5.0000000000e-01 -1.5000000000e+00 0.0000000000e+00 8.2472195889e-07 -8.2895275639e-07
5.3030303030e-01 -1.5000000000e+00 0.0000000000e+00 8.2464673700e-07 -8.2893037090e-07
5.6060606061e-01 -1.5000000000e+00 0.0000000000e+00 8.2443652553e-07 -8.2877610386e-07
5.9090909091e-01 -1.5000000000e+00 0.0000000000e+00 8.2408794109e-07 -8.2848657188e-07
6.2121212121e-01 -1.5000000000e+00 0.0000000000e+00 8.2359766586e-07 -8.2805845712e-07
6.5151515152e-01 -1.5000000000e+00 0.0000000000e+00 8.2296250175e-07 -8.2748856151e-07
6.8181818182e-01 -1.5000000000e+00 0.0000000000e+00 8.2217943068e-07 -8.2677386697e-07
7.1212121212e-01 -1.5000000000e+00 0.0000000000e+00 8.2124567582e-07 -8.2591159666e-07
7.4242424242e-01 -1.5000000000e+00 0.0000000000e+00 8.2015875958e-07 -8.2489927299e-07
7.7272727273e-01 -1.5000000000e+00 0.0000000000e+00 8.1891655574e-07 -8.2373476975e-07
8.0303030303e-01 -1.5000000000e+00 0.0000000000e+00 8.1751733560e-07 -8.2241635823e-07
8.3333333333e-01 -1.5000000000e+00 0.0000000000e+00 8.1595980898e-07 -8.2094274825e-07
8.6363636364e-01 -1.5000000000e+00 0.0000000000e+00 8.1424316009e-07 -8.1931312403e-07
8.9393939394e-01 -1.5000000000e+00 0.0000000000e+00 8.1236707659e-07 -8.1752717322e-07
9.2424242424e-01 -1.5000000000e+00 0.0000000000e+00 8.1033176775e-07 -8.1558510510e-07
9.5454545455e-01 -1.5000000000e+00 0.0000000000e+00 8.0813796784e-07 -8.1348765393e-07
9.8484848485e-01 -1.5000000000e+00 0.0000000000e+00 8.0578692223e-07 -8.1123606508e-07
1.0151515152e+00 -1.5000000000e+00 0.0000000000e+00 8.0328035675e-07 -8.0883206439e-07
1.0454545455e+00 -1.5000000000e+00 0.0000000000e+00 8.0062043362e-07 -8.0627781408e-07
1.0757575758e+00 -1.5000000000e+00 0.0000000000e+00 7.9780969896e-07 -8.0357586025e-07
1.1060606061e+00 -1.5000000000e+00 0.0000000000e+00 7.9485102772e-07 -8.0072907787e-07
1.1363636364e+00 -1.5000000000e+00 0.0000000000e+00 7.9174757142e-07 -7.9774061845e-07
1.1666666667e+00 -1.5000000000e+00 0.0000000000e+00 7.8850271297e-07 -7.9461386491e-07
1.1969696970e+00 -1.5000000000e+00 0.0000000000e+00 7.8512003117e-07 -7.9135239604e-07
1.2272727273e+00 -1.5000000000e+00 0.0000000000e+00 7.8160327587e-07 -7.8795996169e-07
1.2575757576e+00 -1.5000000000e+00 0.0000000000e+00 7.7795635311e-07 -7.8444046792e-07
1.2878787879e+00 -1.5000000000e+00 0.0000000000e+00 7.7418331844e-07 -7.8079797024e-07
1.3181818182e+00 -1.5000000000e+00 0.0000000000e+00 7.7028837550e-07 -7.7703667233e-07
1.3484848485e+00 -1.5000000000e+00 0.0000000000e+00 7.6627587708e-07 -7.7316092696e-07
1.3787878788e+00 -1.5000000000e+00 0.0000000000e+00 7.6215032571e-07 -7.6917523667e-07
1.4090909091e+00 -1.5000000000e+00 0.0000000000e+00 7.5791637189e-07 -7.6508425194e-07
1.4393939394e+00 -1.5000000000e+00 0.0000000000e+00 7.5357880844e-07 -7.6089276561e-07
1.4696969697e+00 -1.5000000000e+00 0.0000000000e+00 7.4914256076e-07 -7.5660570309e-07
1.5000000000e+00 -1.5000000000e+00 0.0000000000e+00 7.4461267293e-07 -7.5222810843e-07
-1.5000000000e+00 -1.4696969697e+00 0.0000000000e+00 7.0769691996e-07 -7.1516006228e-07
-1.4696969697e+00 -1.4696969697e+00 0.0000000000e+00 7.1028065417e-07 -7.1759150333e-07
-1.4393939394e+00 -1.4696969697e+00 0.0000000000e+00 7.1281260793e-07 -7.1997427194e-07
-1.4090909091e+00 -1.4696969697e+00 0.0000000000e+00 7.1529749906e-07 -7.2231308595e-07
-1.3787878788e+00 -1.4696969697e+00 0.0000000000e+00 7.1774002384e-07 -7.2461264163e-07
-1.3484848485e+00 -1.4696969697e+00 0.0000000000e+00 7.2014481396e-07 -7.2687757067e-07
-1.3181818182e+00 -1.4696969697e+00 0.0000000000e+00 7.2251640005e-07 -7.2911240372e-07
-1.2878787879e+00 -1.4696969697e+00 0.0000000000e+00 7.2485918101e-07 -7.3132153965e-07
-1.2575757576e+00 -1.4696969697e+00 0.0000000000e+00 7.2717739847e-07 -7.3350922010e-07
-1.2272727273e+00 -1.4696969697e+00 0.0000000000e+00 7.2947511574e-07 -7.3567950840e-07
-1.1969696970e+00 -1.4696969697e+00 0.0000000000e+00 7.3175620051e-07 -7.3783627221e-07
-1.1666666667e+00 -1.4696969697e+00 0.0000000000e+00 7.3402431060e-07 -7.3998316937e-07
-1.1363636364e+00 -1.4696969697e+00 0.0000000000e+00 7.3628288238e-07 -7.4212363625e-07
-1.1060606061e+00 -1.4696969697e+00 0.0000000000e+00 7.3853512116e-07 -7.4426087814e-07
-1.0757575758e+00 -1.4696969697e+00 0.0000000000e+00 7.4078399322e-07 -7.4639786134e-07
-1.0454545455e+00 -1.4696969697e+00 0.0000000000e+00 7.4303221920e-07 -7.4853730649e-07
-1.0151515152e+00 -1.4696969697e+00 0.0000000000e+00 7.4528226832e-07 -7.5068168279e-07
-9.8484848485e-01 -1.4696969697e+00 0.0000000000e+00 7.4753635342e-07 -7.5283320311e-07
-9.5454545455e-01 -1.4696969697e+00 0.0000000000e+00 7.4979642647e-07 -7.5499381939e-07
-9.2424242424e-01 -1.4696969697e+00 0.0000000000e+00 7.5206417441e-07 -7.5716521859e-07
-8.9393939394e-01 -1.4696969697e+00 0.0000000000e+00 7.5434101528e-07 -7.5934881875e-07
-8.6363636364e-01 -1.4696969697e+00 0.0000000000e+00 7.5662809446e-07 -7.6154576523e-07
-8.3333333333e-01 -1.4696969697e+00 0.0000000000e+00 7.5892628095e-07 -7.6375692705e-07
-8.0303030303e-01 -1.4696969697e+00 0.0000000000e+00 7.6123616379e-07 -7.6598289324e-07
