# x y z potential pseudo_potential
-1.5000000000e+00 -1.5000000000e+00 0.0000000000e+00 3.5309091468e-07 -3.6070635017e-07
-1.4696969697e+00 -1.5000000000e+00 0.0000000000e+00 3.5669601187e-07 -3.6415915420e-07
-1.4393939394e+00 -1.5000000000e+00 0.0000000000e+00 3.6033765933e-07 -3.6765161651e-07
-1.4090909091e+00 -1.5000000000e+00 0.0000000000e+00 3.6401461656e-07 -3.7118249661e-07
-1.3787878788e+00 -1.5000000000e+00 0.0000000000e+00 3.6772546552e-07 -3.7475037648e-07
-1.3484848485e+00 -1.5000000000e+00 0.0000000000e+00 3.7146859716e-07 -3.7835364705e-07
-1.3181818182e+00 -1.5000000000e+00 0.0000000000e+00 3.7524219806e-07 -3.8199049490e-07
-1.2878787879e+00 -1.5000000000e+00 0.0000000000e+00 3.7904423761e-07 -3.8565888942e-07
-1.2575757576e+00 -1.5000000000e+00 0.0000000000e+00 3.8287245619e-07 -3.8935657099e-07
-1.2272727273e+00 -1.5000000000e+00 0.0000000000e+00 3.8672435472e-07 -3.9308104055e-07
-1.1969696970e+00 -1.5000000000e+00 0.0000000000e+00 3.9059718626e-07 -3.9682955113e-07
-1.1666666667e+00 -1.5000000000e+00 0.0000000000e+00 3.9448794983e-07 -4.0059910177e-07
-1.1363636364e+00 -1.5000000000e+00 0.0000000000e+00 3.9839338710e-07 -4.0438643413e-07
-1.1060606061e+00 -1.5000000000e+00 0.0000000000e+00 4.0230998184e-07 -4.0818803198e-07
-1.0757575758e+00 -1.5000000000e+00 0.0000000000e+00 4.0623396229e-07 -4.1200012358e-07
-1.0454545455e+00 -1.5000000000e+00 0.0000000000e+00 4.1016130638e-07 -4.1581868684e-07
-1.0151515152e+00 -1.5000000000e+00 0.0000000000e+00 4.1408774966e-07 -4.1963945730e-07
-9.8484848485e-01 -1.5000000000e+00 0.0000000000e+00 4.1800879621e-07 -4.2345793906e-07
-9.5454545455e-01 -1.5000000000e+00 0.0000000000e+00 4.2191973262e-07 -4.2726941871e-07
-9.2424242424e-01 -1.5000000000e+00 0.0000000000e+00 4.2581564397e-07 -4.3106898132e-07
-8.9393939394e-01 -1.5000000000e+00 0.0000000000e+00 4.2969142772e-07 -4.3485152435e-07
-8.6363636364e-01 -1.5000000000e+00 0.0000000000e+00 4.3354179671e-07 -4.3861176065e-07
-8.3333333333e-01 -1.5000000000e+00 0.0000000000e+00 4.3736125814e-07 -4.4234419741e-07
-8.0303030303e-01 -1.5000000000e+00 0.0000000000e+00 4.4114405782e-07 -4.4604308045e-07
-7.7272727273e-01 -1.5000000000e+00 0.0000000000e+00 4.4488409313e-07 -4.4970230714e-07
-7.4242424242e-01 -1.5000000000e+00 0.0000000000e+00 4.4857482438e-07 -4.5331533779e-07
-7.1212121212e-01 -1.5000000000e+00 0.0000000000e+00 4.5220923161e-07 -4.5687515245e-07
-6.8181818182e-01 -1.5000000000e+00 0.0000000000e+00 4.5577984208e-07 -4.6037427837e-07
-6.5151515152e-01 -1.5000000000e+00 0.0000000000e+00 4.5927882882e-07 -4.6380488858e-07
-6.2121212121e-01 -1.5000000000e+00 0.0000000000e+00 4.6269837106e-07 -4.6715916232e-07
-5.9090909091e-01 -1.5000000000e+00 0.0000000000e+00 4.6603244589e-07 -4.7043107667e-07
-5.6060606061e-01 -1.5000000000e+00 0.0000000000e+00 4.6927933949e-07 -4.7361891782e-07
-5.3030303030e-01 -1.5000000000e+00 0.0000000000e+00 4.7242827931e-07 -4.7671191322e-07
-5.0000000000e-01 -1.5000000000e+00 0.0000000000e+00 4.7545120741e-07 -4.7968200491e-07
-4.6969696970e-01 -1.5000000000e+00 0.0000000000e+00 4.7830792031e-07 -4.8248898942e-07
-4.3939393939e-01 -1.5000000000e+00 0.0000000000e+00 4.8097418356e-07 -4.8510863232e-07
-4.0909090909e-01 -1.5000000000e+00 0.0000000000e+00 4.8345035227e-07 -4.8754128870e-07
-3.7878787879e-01 -1.5000000000e+00 0.0000000000e+00 4.8573960316e-07 -4.8979013528e-07
-3.4848484848e-01 -1.5000000000e+00 0.0000000000e+00 4.8784336638e-07 -4.9185660221e-07
-3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 4.8976100664e-07 -4.9374005420e-07
-2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 4.9149061237e-07 -4.9543857969e-07
-2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 4.9302940387e-07 -4.9694939898e-07
-2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 4.9437397428e-07 -4.9826910520e-07
-1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 4.9552086406e-07 -4.9939423881e-07
-1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 4.9646772520e-07 -5.0032245181e-07
-1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 4.9721451963e-07 -5.0105370612e-07
-1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 4.9776342387e-07 -5.0159017826e-07
-7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 4.9811750160e-07 -5.0193493192e-07
-4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 4.9827955178e-07 -5.0209076606e-07
-1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 4.9825185261e-07 -5.0205995886e-07
1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 4.9803699935e-07 -5.0184510560e-07
4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 4.9763942411e-07 -5.0145063839e-07
7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 4.9706563709e-07 -5.0088306741e-07
1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 4.9632255005e-07 -5.0014930445e-07
1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 4.9541591250e-07 -4.9925509899e-07
1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 4.9434981187e-07 -4.9820453848e-07
1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 4.9312670030e-07 -4.9700007505e-07
2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 4.9174743842e-07 -4.9564256934e-07
2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 4.9021070152e-07 -4.9413069663e-07
2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 4.8850954971e-07 -4.9245751703e-07
3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 4.8663262369e-07 -4.9061167125e-07
3.4848484848e-01 -1.5000000000e+00 0.0000000000e+00 4.8457642750e-07 -4.8858966333e-07
3.7878787879e-01 -1.5000000000e+00 0.0000000000e+00 4.8233975397e-07 -4.8639028609e-07
