x,y,z,mass,face_id,layer_id,density_input,mu
2.70948750e-04,4.17775650e-04,1.41691750e-02,1.53627635e+04,1,2,1.75000000e+00,1.02532639e-15
4.51581250e-04,6.96292750e-04,2.36152917e-02,4.16989294e+04,1,3,1.75000000e+00,2.78302877e-15
6.32213750e-04,9.74809850e-04,3.30614083e-02,8.12031783e+04,1,4,1.75000000e+00,5.41958235e-15
8.12846250e-04,1.25332695e-03,4.25075250e-02,1.33875510e+05,1,5,1.75000000e+00,8.93498711e-15
9.93478750e-04,1.53184405e-03,5.19536417e-02,1.99715925e+05,1,6,1.75000000e+00,1.33292431e-14
1.17411125e-03,1.81036115e-03,6.13997583e-02,2.78724423e+05,1,7,1.75000000e+00,1.86023502e-14
1.35474375e-03,2.08887825e-03,7.08458750e-02,3.70901003e+05,1,8,1.75000000e+00,2.47543086e-14
1.53537625e-03,2.36739535e-03,8.02919917e-02,4.76245667e+05,1,9,1.75000000e+00,3.17851181e-14
1.71600875e-03,2.64591245e-03,8.97381083e-02,5.94758414e+05,1,10,1.75000000e+00,3.96947788e-14
1.89664125e-03,2.92442955e-03,9.91842250e-02,7.26439243e+05,1,11,1.75000000e+00,4.84832907e-14
2.07727375e-03,3.20294665e-03,1.08630342e-01,8.71288156e+05,1,12,1.75000000e+00,5.81506538e-14
2.25790625e-03,3.48146375e-03,1.18076458e-01,1.02930515e+06,1,13,1.75000000e+00,6.86968681e-14
2.43853875e-03,3.75998085e-03,1.27522575e-01,1.20049023e+06,1,14,1.75000000e+00,8.01219336e-14
2.61917125e-03,4.03849795e-03,1.36968692e-01,1.38484339e+06,1,15,1.75000000e+00,9.24258503e-14
2.79980375e-03,4.31701505e-03,1.46414808e-01,1.58236464e+06,1,16,1.75000000e+00,1.05608618e-13
2.98043625e-03,4.59553215e-03,1.55860925e-01,1.79305396e+06,1,17,1.75000000e+00,1.19670237e-13
3.16106875e-03,4.87404925e-03,1.65307042e-01,2.01691137e+06,1,18,1.75000000e+00,1.34610707e-13
3.34170125e-03,5.15256635e-03,1.74753158e-01,2.25393687e+06,1,19,1.75000000e+00,1.50430029e-13
3.52233375e-03,5.43108345e-03,1.84199275e-01,2.50413044e+06,1,20,1.75000000e+00,1.67128202e-13
1.35474375e-04,2.08887825e-04,7.08458750e-03,2.19468049e+03,1,1,1.75000000e+00,1.46475199e-16
-4.09471250e-04,8.52556250e-04,1.42573000e-02,1.52879055e+04,2,2,1.75000000e+00,1.02033029e-15
-6.82452083e-04,1.42092708e-03,2.37621667e-02,4.14957435e+04,2,3,1.75000000e+00,2.76946794e-15
-9.55432917e-04,1.98929792e-03,3.32670333e-02,8.08075004e+04,2,4,1.75000000e+00,5.39317441e-15
-1.22841375e-03,2.55766875e-03,4.27719000e-02,1.33223176e+05,2,5,1.75000000e+00,8.89144970e-15
-1.50139458e-03,3.12603958e-03,5.22767667e-02,1.98742771e+05,2,6,1.75000000e+00,1.32642938e-14
-1.77437542e-03,3.69441042e-03,6.17816333e-02,2.77366285e+05,2,7,1.75000000e+00,1.85117068e-14
-2.04735625e-03,4.26278125e-03,7.12865000e-02,3.69093718e+05,2,8,1.75000000e+00,2.46336885e-14
-2.32033708e-03,4.83115208e-03,8.07913667e-02,4.73925070e+05,2,9,1.75000000e+00,3.16302391e-14
-2.59331792e-03,5.39952292e-03,9.02962333e-02,5.91860341e+05,2,10,1.75000000e+00,3.95013585e-14
