0 1 2
0 2 3
0 3 4
0 4 5
0 5 6
0 6 1
1 7 8
1 8 2
2 8 9
2 9 10
2 10 3
3 10 11
3 11 12
3 12 4
4 12 13
4 13 14
4 14 5
5 14 15
5 15 16
5 16 6
6 16 17
6 17 18
6 18 1
1 18 7
7 19 20
7 20 8
8 20 21
8 21 1704
8 1704 9
9 22 23
9 23 10
10 23 24
10 24 25
10 25 11
11 25 26
11 26 12
12 26 27
12 27 28
12 28 13
13 28 29
13 29 30
13 30 14
14 30 31
14 31 15
15 31 32
15 32 33
15 33 16
16 33 34
16 34 17
17 34 35
17 35 1692
17 1692 18
18 36 37
18 37 7
7 37 19
19 38 1725
19 1725 20
20 39 40
20 40 21
21 40 41
21 41 22
22 41 42
22 42 1818
22 1818 23
23 43 44
23 44 24
24 44 45
24 45 25
25 45 46
25 46 26
26 46 47
26 47 48
26 48 27
27 48 49
27 49 28
28 49 50
28 50 29
29 50 51
29 51 30
30 51 52
30 52 53
30 53 31
31 53 54
31 54 32
32 54 55
32 55 33
33 55 56
33 56 34
34 56 57
34 57 1656
34 1656 35
35 58 59
35 59 36
36 59 60
36 60 37
37 60 61
37 1616 19
19 1616 38
38 62 1567
38 1567 39
39 63 64
39 64 40
40 64 65
40 1918 41
41 1918 66
41 1633 42
42 1633 67
42 67 68
42 68 43
43 68 69
43 69 44
44 69 70
44 70 45
45 70 71
45 71 46
46 71 72
46 72 73
46 73 47
47 73 74
47 74 48
48 74 75
48 75 49
49 75 76
49 76 50
50 76 77
50 77 78
50 78 51
51 78 79
51 79 52
52 79 80
52 80 53
53 80 81
53 81 54
54 81 82
54 82 83
54 83 55
55 83 84
55 84 56
56 84 85
56 85 57
57 85 86
57 1973 58
58 1973 87
58 87 1518
58 1518 59
59 88 1736
59 1736 60
60 89 90
60 1795 61
61 1795 91
61 1499 38
38 1499 62
62 92 1467
62 1467 63
63 93 1670
63 1670 64
64 94 95
64 95 65
65 95 96
65 1945 66
66 1945 97
66 1735 67
67 1735 98
67 1639 68
68 1639 99
68 99 100
68 100 69
69 100 101
69 101 70
70 101 102
70 102 71
71 102 103
71 103 72
72 103 104
72 104 73
73 104 105
73 105 74
74 105 106
74 106 107
74 107 75
75 107 108
75 108 76
76 108 109
76 109 77
77 109 110
77 110 78
78 110 111
78 111 79
79 111 112
79 112 80
80 112 113
80 113 114
80 114 81
81 114 115
81 115 82
82 115 116
82 116 83
83 116 117
83 117 84
84 117 118
84 118 85
85 118 119
85 1849 86
86 1849 120
86 120 1491
86 1491 87
87 121 1573
87 1573 88
88 122 1698
88 1698 89
89 123 1971
89 1764 90
90 1764 125
90 1552 91
91 1552 126
91 1423 62
62 1423 92
92 127 1415
92 1415 93
93 128 1543
93 1543 94
94 129 1746
94 1746 95
95 130 131
95 1901 96
96 1901 132
96 1712 97
97 1712 133
97 1623 98
98 1623 134
98 1564 99
99 1564 135
99 135 136
99 136 100
100 136 137
100 137 101
101 137 138
101 138 102
102 138 139
102 139 103
103 139 140
103 140 104
104 140 141
104 141 105
105 141 142
105 142 106
106 142 143
106 143 144
106 144 107
107 144 145
107 145 108
108 145 146
108 146 109
109 146 147
109 147 110
110 147 148
110 148 111
111 148 149
111 149 112
112 149 150
112 150 113
113 150 151
113 151 152
113 152 114
114 152 153
114 153 115
115 153 154
115 154 116
116 154 155
116 155 117
117 155 156
117 156 118
118 156 157
118 157 119
119 157 158
119 1719 120
120 1719 159
120 159 1458
120 1458 121
121 160 1501
121 1501 122
122 161 1569
122 1569 123
123 162 1685
123 1685 124
1790 163 164
124 1590 125
125 1590 165
125 1464 126
126 1464 166
126 1377 92
92 1377 127
127 167 1389
127 1389 128
128 168 1474
128 1474 129
129 169 1605
129 1605 130
130 170 1791
130 1791 131
1907 171 172
131 1706 132
132 1706 173
132 1599 133
133 1599 174
133 1548 134
134 1548 175
134 1514 135
135 1514 176
135 176 1817
135 1817 136
136 177 178
136 178 137
137 178 179
137 179 138
138 179 180
138 180 139
139 180 181
139 181 140
140 181 182
140 182 141
141 182 183
141 183 142
142 183 184
142 184 143
143 184 185
143 185 186
143 186 144
144 186 187
144 187 145
145 187 188
145 188 146
146 188 189
146 189 147
147 189 190
147 190 148
148 190 191
148 191 149
149 191 192
149 192 150
150 192 193
150 193 151
151 193 194
151 194 195
151 195 152
152 195 196
152 196 153
153 196 197
153 197 154
154 197 198
154 198 155
155 198 199
155 199 156
156 199 200
156 200 157
157 200 201
157 201 158
158 201 202
158 1646 159
159 1646 203
159 203 1444
159 1444 160
160 204 1468
160 1468 161
161 205 1506
161 1506 162
162 206 1576
162 1576 163
1837 207 1702
163 1627 164
164 1627 1914
164 1500 165
165 1500 210
165 1418 166
166 1418 211
166 1346 127
127 1346 167
167 212 1349
167 1349 168
168 213 1413
168 1413 169
169 214 1479
169 1479 170
170 215 1563
170 1563 171
171 216 1681
171 1681 172
1856 217 218
172 1741 173
173 1741 219
173 1700 174
174 1700 220
174 1691 175
175 1691 221
175 1687 176
176 1687 222
176 1680 177
177 1680 223
177 1686 178
178 1686 224
178 224 225
178 225 179
179 225 226
179 226 180
180 226 227
180 227 181
181 227 228
181 228 182
182 228 229
182 229 183
183 229 230
183 230 184
184 230 231
184 231 185
185 231 232
185 232 186
186 232 233
186 233 187
187 233 234
187 234 188
188 234 235
188 235 189
189 235 236
189 236 237
189 237 190
190 237 238
190 238 191
191 238 239
191 239 192
192 239 240
192 240 193
193 240 241
193 241 194
194 241 242
194 242 195
195 242 243
195 243 196
196 243 244
196 244 197
197 244 245
197 245 198
198 245 246
198 246 199
199 246 247
199 247 200
200 247 248
200 248 1669
200 1669 201
201 249 1636
201 1636 202
202 250 1630
202 1630 203
203 251 1632
203 1632 204
204 252 1625
204 1625 205
205 253 1626
205 1626 206
206 254 1651
206 1651 207
1728 255 1716
207 1568 208
208 1568 1820
208 1473 209
209 1473 258
209 1420 210
210 1420 259
210 1373 211
211 1373 260
211 1321 167
167 1321 212
212 261 1313
212 1313 213
213 262 1368
213 1368 214
214 263 1407
214 1407 215
215 264 1439
215 1439 216
216 265 1482
216 1482 217
217 266 1566
217 1566 218
1877 267 1708
218 1708 219
1840 268 269
219 1891 220
220 1891 270
220 270 221
221 270 271
221 271 222
222 271 272
222 272 223
223 272 273
223 273 224
224 273 274
224 274 225
225 274 275
225 275 226
226 275 276
226 276 227
227 276 277
227 277 228
228 277 278
228 278 279
228 279 229
229 279 280
229 280 230
230 280 281
230 281 231
231 281 282
231 282 232
232 282 283
232 283 233
233 283 284
233 284 234
234 284 285
234 285 235
235 285 286
235 286 236
236 286 287
236 287 237
237 287 288
237 288 238
238 288 289
238 289 239
239 289 290
239 290 240
240 290 291
240 291 241
241 291 292
241 292 242
242 292 293
242 293 243
243 293 294
243 294 244
244 294 295
244 295 296
244 296 245
245 296 297
245 297 246
246 297 298
246 298 247
247 298 299
247 299 248
248 299 300
248 300 249
249 300 301
249 301 250
250 301 302
250 302 251
251 302 303
251 303 252
252 303 1989
252 1989 253
253 304 1829
253 1796 254
254 1796 1771
254 1617 255
255 1617 1769
255 1505 256
256 1505 1819
256 1435 257
257 1435 309
257 1395 258
258 1395 310
258 1367 259
259 1367 311
259 1334 260
260 1334 312
260 1287 212
212 1287 261
261 313 1288
261 1288 262
262 314 1341
262 1341 263
263 315 1385
263 1385 264
264 316 1406
264 1406 265
265 317 1436
265 1436 266
1943 318 1483
266 1483 267
1794 319 1579
267 1579 268
1759 320 1731
268 1731 269
1770 321 322
269 1810 270
270 1810 323
270 1905 271
271 1905 324
271 324 272
272 324 325
272 325 273
273 325 326
273 326 274
274 326 327
274 327 275
275 327 328
275 328 276
276 328 329
276 329 277
277 329 330
277 330 278
278 330 331
278 331 332
278 332 279
279 332 333
279 333 280
280 333 334
280 334 281
281 334 335
281 335 282
282 335 336
282 336 283
283 336 337
283 337 284
284 337 338
284 338 285
285 338 339
285 339 286
286 339 340
286 340 287
287 340 341
287 341 288
288 341 342
288 342 289
289 342 343
289 343 290
290 343 344
290 344 291
291 344 345
291 345 292
292 345 346
292 346 293
293 346 347
293 347 294
294 347 348
294 348 295
295 348 349
295 349 350
295 350 296
296 350 351
296 351 297
297 351 352
297 352 298
298 352 353
298 353 299
299 353 354
299 354 300
300 354 355
300 355 301
301 355 356
301 356 302
302 356 357
302 357 303
303 357 1984
303 1984 304
304 358 1835
304 1835 305
1899 359 1763
305 1662 306
306 1662 1740
306 1527 307
307 1527 1749
307 1453 308
308 1453 1799
308 1403 309
309 1403 1967
309 1371 310
310 1371 365
310 1343 311
311 1343 366
311 1315 312
312 1315 367
312 1278 261
261 1278 313
313 368 1272
313 1272 314
314 369 1305
314 1305 315
315 370 1331
315 1331 316
316 371 1338
316 1338 317
317 372 1353
317 1353 318
318 373 1387
318 1387 319
1962 374 1426
319 1426 320
1985 375 1485
320 1485 321
321 376 1580
321 1580 322
322 377 1724
322 1724 323
323 378 379
323 379 324
324 379 380
324 380 325
325 380 381
325 381 326
326 381 382
326 382 327
327 382 383
327 383 328
328 383 384
328 384 329
329 384 385
329 385 330
330 385 386
330 386 331
331 386 387
331 387 332
332 387 388
332 388 333
333 388 389
333 389 334
334 389 390
334 390 335
335 390 391
335 391 336
336 391 392
336 392 337
337 392 393
337 393 338
338 393 394
338 394 339
339 394 395
339 1682 340
340 1682 396
340 396 1653
340 1653 341
341 397 1866
341 1866 342
342 398 399
342 399 343
343 399 400
343 400 344
344 400 401
344 401 345
345 401 402
345 402 346
346 402 403
346 403 347
347 403 404
347 404 348
348 404 405
348 405 349
349 405 406
349 406 350
350 406 407
350 407 351
