# x y z potential pseudo_potential
-1.5000000000e+00 -1.5000000000e+00 0.0000000000e+00 1.6711191125e-09 -9.2865546072e-09
-1.4696969697e+00 -1.5000000000e+00 0.0000000000e+00 1.6880677696e-09 -9.1512100945e-09
-1.4393939394e+00 -1.5000000000e+00 0.0000000000e+00 1.7051796853e-09 -9.0191368643e-09
-1.4090909091e+00 -1.5000000000e+00 0.0000000000e+00 1.7224485177e-09 -8.8903285747e-09
-1.3787878788e+00 -1.5000000000e+00 0.0000000000e+00 1.7398671527e-09 -8.7647781115e-09
-1.3484848485e+00 -1.5000000000e+00 0.0000000000e+00 1.7574276563e-09 -8.6424775409e-09
-1.3181818182e+00 -1.5000000000e+00 0.0000000000e+00 1.7751212267e-09 -8.5234180608e-09
-1.2878787879e+00 -1.5000000000e+00 0.0000000000e+00 1.7929381453e-09 -8.4075899529e-09
-1.2575757576e+00 -1.5000000000e+00 0.0000000000e+00 1.8108677284e-09 -8.2949825333e-09
-1.2272727273e+00 -1.5000000000e+00 0.0000000000e+00 1.8288982779e-09 -8.1855841040e-09
-1.1969696970e+00 -1.5000000000e+00 0.0000000000e+00 1.8470170338e-09 -8.0793819050e-09
-1.1666666667e+00 -1.5000000000e+00 0.0000000000e+00 1.8652101273e-09 -7.9763620675e-09
-1.1363636364e+00 -1.5000000000e+00 0.0000000000e+00 1.8834625357e-09 -7.8765095687e-09
-1.1060606061e+00 -1.5000000000e+00 0.0000000000e+00 1.9017580402e-09 -7.7798081899e-09
-1.0757575758e+00 -1.5000000000e+00 0.0000000000e+00 1.9200791862e-09 -7.6862404765e-09
-1.0454545455e+00 -1.5000000000e+00 0.0000000000e+00 1.9384072486e-09 -7.5957877033e-09
-1.0151515152e+00 -1.5000000000e+00 0.0000000000e+00 1.9567222006e-09 -7.5084298437e-09
-9.8484848485e-01 -1.5000000000e+00 0.0000000000e+00 1.9750026901e-09 -7.4241455454e-09
-9.5454545455e-01 -1.5000000000e+00 0.0000000000e+00 1.9932260211e-09 -7.3429121124e-09
-9.2424242424e-01 -1.5000000000e+00 0.0000000000e+00 2.0113681443e-09 -7.2647054955e-09
-8.9393939394e-01 -1.5000000000e+00 0.0000000000e+00 2.0294036562e-09 -7.1895002912e-09
-8.6363636364e-01 -1.5000000000e+00 0.0000000000e+00 2.0473058083e-09 -7.1172697510e-09
-8.3333333333e-01 -1.5000000000e+00 0.0000000000e+00 2.0650465276e-09 -7.0479858019e-09
-8.0303030303e-01 -1.5000000000e+00 0.0000000000e+00 2.0825964498e-09 -6.9816190795e-09
-7.7272727273e-01 -1.5000000000e+00 0.0000000000e+00 2.0999249650e-09 -6.9181389740e-09
-7.4242424242e-01 -1.5000000000e+00 0.0000000000e+00 2.1170002791e-09 -6.8575136913e-09
-7.1212121212e-01 -1.5000000000e+00 0.0000000000e+00 2.1337894899e-09 -6.7997103291e-09
-6.8181818182e-01 -1.5000000000e+00 0.0000000000e+00 2.1502586795e-09 -6.7446949696e-09
-6.5151515152e-01 -1.5000000000e+00 0.0000000000e+00 2.1663730237e-09 -6.6924327887e-09
-6.2121212121e-01 -1.5000000000e+00 0.0000000000e+00 2.1820969189e-09 -6.6428881825e-09
-5.9090909091e-01 -1.5000000000e+00 0.0000000000e+00 2.1973941257e-09 -6.5960249119e-09
-5.6060606061e-01 -1.5000000000e+00 0.0000000000e+00 2.2122279314e-09 -6.5518062640e-09
-5.3030303030e-01 -1.5000000000e+00 0.0000000000e+00 2.2265613278e-09 -6.5101952307e-09
-5.0000000000e-01 -1.5000000000e+00 0.0000000000e+00 2.2403572070e-09 -6.4711547040e-09
-4.6969696970e-01 -1.5000000000e+00 0.0000000000e+00 2.2535785715e-09 -6.4346476865e-09
-4.3939393939e-01 -1.5000000000e+00 0.0000000000e+00 2.2661887582e-09 -6.4006375152e-09
-4.0909090909e-01 -1.5000000000e+00 0.0000000000e+00 2.2781516750e-09 -6.3690880978e-09
-3.7878787879e-01 -1.5000000000e+00 0.0000000000e+00 2.2894320466e-09 -6.3399641590e-09
-3.4848484848e-01 -1.5000000000e+00 0.0000000000e+00 2.2999956673e-09 -6.3132314932e-09
-3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 2.3098096586e-09 -6.2888572219e-09
-2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 2.3188427276e-09 -6.2668100522e-09
-2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 2.3270654221e-09 -6.2470605318e-09
-2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 2.3344503804e-09 -6.2295812992e-09
-1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 2.3409725705e-09 -6.2143473221e-09
-1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 2.3466095150e-09 -6.2013361234e-09
-1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 2.3513414992e-09 -6.1905279883e-09
-1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 2.3551517571e-09 -6.1819061506e-09
-7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 2.3580266328e-09 -6.1754569547e-09
-4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 2.3599557147e-09 -6.1711699888e-09
-1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 2.3609319390e-09 -6.1690381893e-09
1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 2.3609516614e-09 -6.1690579118e-09
4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 2.3600146952e-09 -6.1712289693e-09
7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 2.3581243142e-09 -6.1755546361e-09
1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 2.3552872226e-09 -6.1820416162e-09
1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 2.3515134898e-09 -6.1906999789e-09
1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 2.3468164528e-09 -6.2015430612e-09
1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 2.3412125877e-09 -6.2145873393e-09
2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 2.3347213529e-09 -6.2298522716e-09
2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 2.3273650062e-09 -6.2473601159e-09
2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 2.3191684000e-09 -6.2671357246e-09
3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 2.3101587574e-09 -6.2892063208e-09
3.4848484848e-01 -1.5000000000e+00 0.0000000000e+00 2.3003654332e-09 -6.3136012592e-09
3.7878787879e-01 -1.5000000000e+00 0.0000000000e+00 2.2898196642e-09 -6.3403517766e-09
4.0909090909e-01 -1.5000000000e+00 0.0000000000e+00 2.2785543118e-09 -6.3694907346e-09
4.3939393939e-01 -1.5000000000e+00 0.0000000000e+00 2.2666036018e-09 -6.4010523588e-09
4.6969696970e-01 -1.5000000000e+00 0.0000000000e+00 2.2540028638e-09 -6.4350719789e-09
5.0000000000e-01 -1.5000000000e+00 0.0000000000e+00 2.2407882749e-09 -6.4715857720e-09
5.3030303030e-01 -1.5000000000e+00 0.0000000000e+00 2.2269966096e-09 -6.5106305125e-09
5.6060606061e-01 -1.5000000000e+00 0.0000000000e+00 2.2126649997e-09 -6.5522433323e-09
5.9090909091e-01 -1.5000000000e+00 0.0000000000e+00 2.1978307060e-09 -6.5964614922e-09
6.2121212121e-01 -1.5000000000e+00 0.0000000000e+00 2.1825309033e-09 -6.6433221669e-09
6.5151515152e-01 -1.5000000000e+00 0.0000000000e+00 2.1668024819e-09 -6.6928622468e-09
6.8181818182e-01 -1.5000000000e+00 0.0000000000e+00 2.1506818646e-09 -6.7451181547e-09
7.1212121212e-01 -1.5000000000e+00 0.0000000000e+00 2.1342048418e-09 -6.8001256810e-09
7.4242424242e-01 -1.5000000000e+00 0.0000000000e+00 2.1174064240e-09 -6.8579198362e-09
7.7272727273e-01 -1.5000000000e+00 0.0000000000e+00 2.1003207127e-09 -6.9185347217e-09
8.0303030303e-01 -1.5000000000e+00 0.0000000000e+00 2.0829807880e-09 -6.9820034178e-09
8.3333333333e-01 -1.5000000000e+00 0.0000000000e+00 2.0654186150e-09 -7.0483578893e-09
8.6363636364e-01 -1.5000000000e+00 0.0000000000e+00 2.0476649651e-09 -7.1176289078e-09
8.9393939394e-01 -1.5000000000e+00 0.0000000000e+00 2.0297493545e-09 -7.1898459896e-09
9.2424242424e-01 -1.5000000000e+00 0.0000000000e+00 2.0116999970e-09 -7.2650373482e-09
9.5454545455e-01 -1.5000000000e+00 0.0000000000e+00 1.9935437702e-09 -7.3432298615e-09
9.8484848485e-01 -1.5000000000e+00 0.0000000000e+00 1.9753061951e-09 -7.4244490504e-09
1.0151515152e+00 -1.5000000000e+00 0.0000000000e+00 1.9570114265e-09 -7.5087190695e-09
1.0454545455e+00 -1.5000000000e+00 0.0000000000e+00 1.9386822541e-09 -7.5960627089e-09
1.0757575758e+00 -1.5000000000e+00 0.0000000000e+00 1.9203401130e-09 -7.6865014033e-09
1.1060606061e+00 -1.5000000000e+00 0.0000000000e+00 1.9020051013e-09 -7.7800552510e-09
1.1363636364e+00 -1.5000000000e+00 0.0000000000e+00 1.8836960059e-09 -7.8767430389e-09
1.1666666667e+00 -1.5000000000e+00 0.0000000000e+00 1.8654303329e-09 -7.9765822731e-09
1.1969696970e+00 -1.5000000000e+00 0.0000000000e+00 1.8472243442e-09 -8.0795892155e-09
1.2272727273e+00 -1.5000000000e+00 0.0000000000e+00 1.8290930971e-09 -8.1857789233e-09
1.2575757576e+00 -1.5000000000e+00 0.0000000000e+00 1.8110504877e-09 -8.2951652926e-09
1.2878787879e+00 -1.5000000000e+00 0.0000000000e+00 1.7931092963e-09 -8.4077611039e-09
1.3181818182e+00 -1.5000000000e+00 0.0000000000e+00 1.7752812355e-09 -8.5235780697e-09
1.3484848485e+00 -1.5000000000e+00 0.0000000000e+00 1.7575769983e-09 -8.6426268828e-09
1.3787878788e+00 -1.5000000000e+00 0.0000000000e+00 1.7400063075e-09 -8.7649172663e-09
1.4090909091e+00 -1.5000000000e+00 0.0000000000e+00 1.7225779653e-09 -8.8904580223e-09
1.4393939394e+00 -1.5000000000e+00 0.0000000000e+00 1.7052999025e-09 -9.0192570815e-09
1.4696969697e+00 -1.5000000000e+00 0.0000000000e+00 1.6881792272e-09 -9.1513215521e-09
1.5000000000e+00 -1.5000000000e+00 0.0000000000e+00 1.6712222725e-09 -9.2866577672e-09
-1.5000000000e+00 -1.4696969697e+00 0.0000000000e+00 1.6881180470e-09 -9.1512603719e-09
-1.4696969697e+00 -1.4696969697e+00 0.0000000000e+00 1.7055945684e-09 -9.0164437235e-09
-1.4393939394e+00 -1.4696969697e+00 0.0000000000e+00 1.7232505515e-09 -8.8849145607e-09
-1.4090909091e+00 -1.4696969697e+00 0.0000000000e+00 1.7410798902e-09 -8.7566667774e-09
-1.3787878788e+00 -1.4696969697e+00 0.0000000000e+00 1.7590756731e-09 -8.6316934622e-09
-1.3484848485e+00 -1.4696969697e+00 0.0000000000e+00 1.7772301314e-09 -8.5099868461e-09
-1.3181818182e+00 -1.4696969697e+00 0.0000000000e+00 1.7955345850e-09 -8.3915382493e-09
-1.2878787879e+00 -1.4696969697e+00 0.0000000000e+00 1.8139793883e-09 -8.2763380261e-09
-1.2575757576e+00 -1.4696969697e+00 0.0000000000e+00 1.8325538754e-09 -8.1643755105e-09
-1.2272727273e+00 -1.4696969697e+00 0.0000000000e+00 1.8512463045e-09 -8.0556389608e-09
-1.1969696970e+00 -1.4696969697e+00 0.0000000000e+00 1.8700438033e-09 -7.9501155047e-09
-1.1666666667e+00 -1.4696969697e+00 0.0000000000e+00 1.8889323151e-09 -7.8477910855e-09
-1.1363636364e+00 -1.4696969697e+00 0.0000000000e+00 1.9078965462e-09 -7.7486504094e-09
-1.1060606061e+00 -1.4696969697e+00 0.0000000000e+00 1.9269199157e-09 -7.6526768956e-09
-1.0757575758e+00 -1.4696969697e+00 0.0000000000e+00 1.9459845084e-09 -7.5598526289e-09
-1.0454545455e+00 -1.4696969697e+00 0.0000000000e+00 1.9650710313e-09 -7.4701583162e-09
-1.0151515152e+00 -1.4696969697e+00 0.0000000000e+00 1.9841587752e-09 -7.3835732485e-09
-9.8484848485e-01 -1.4696969697e+00 0.0000000000e+00 2.0032255825e-09 -7.3000752680e-09
-9.5454545455e-01 -1.4696969697e+00 0.0000000000e+00 2.0222478213e-09 -7.2196407429e-09
-9.2424242424e-01 -1.4696969697e+00 0.0000000000e+00 2.0412003685e-09 -7.1422445500e-09
-8.9393939394e-01 -1.4696969697e+00 0.0000000000e+00 2.0600566020e-09 -7.0678600673e-09
-8.6363636364e-01 -1.4696969697e+00 0.0000000000e+00 2.0787884039e-09 -6.9964591769e-09
-8.3333333333e-01 -1.4696969697e+00 0.0000000000e+00 2.0973661758e-09 -6.9280122803e-09
-8.0303030303e-01 -1.4696969697e+00 0.0000000000e+00 2.1157588675e-09 -6.8624883274e-09
-7.7272727273e-01 -1.4696969697e+00 0.0000000000e+00 2.1339340205e-09 -6.7998548598e-09
-7.4242424242e-01 -1.4696969697e+00 0.0000000000e+00 2.1518578279e-09 -6.7400780703e-09
-7.1212121212e-01 -1.4696969697e+00 0.0000000000e+00 2.1694952107e-09 -6.6831228802e-09
-6.8181818182e-01 -1.4696969697e+00 0.0000000000e+00 2.1868099133e-09 -6.6289530337e-09
-6.5151515152e-01 -1.4696969697e+00 0.0000000000e+00 2.2037646171e-09 -6.5775312123e-09
-6.2121212121e-01 -1.4696969697e+00 0.0000000000e+00 2.2203210746e-09 -6.5288191684e-09
-5.9090909091e-01 -1.4696969697e+00 0.0000000000e+00 2.2364402632e-09 -6.4827778796e-09
-5.6060606061e-01 -1.4696969697e+00 0.0000000000e+00 2.2520825593e-09 -6.4393677221e-09
-5.3030303030e-01 -1.4696969697e+00 0.0000000000e+00 2.2672079322e-09 -6.3985486653e-09
-5.0000000000e-01 -1.4696969697e+00 0.0000000000e+00 2.2817761571e-09 -6.3602804843e-09
-4.6969696970e-01 -1.4696969697e+00 0.0000000000e+00 2.2957470465e-09 -6.3245229918e-09
-4.3939393939e-01 -1.4696969697e+00 0.0000000000e+00 2.3090806982e-09 -6.2912362854e-09
-4.0909090909e-01 -1.4696969697e+00 0.0000000000e+00 2.3217377572e-09 -6.2603810101e-09
-3.7878787879e-01 -1.4696969697e+00 0.0000000000e+00 2.3336796904e-09 -6.2319186330e-09
-3.4848484848e-01 -1.4696969697e+00 0.0000000000e+00 2.3448690705e-09 -6.2058117266e-09
-3.1818181818e-01 -1.4696969697e+00 0.0000000000e+00 2.3552698649e-09 -6.1820242585e-09
-2.8787878788e-01 -1.4696969697e+00 0.0000000000e+00 2.3648477277e-09 -6.1605218826e-09
-2.5757575758e-01 -1.4696969697e+00 0.0000000000e+00 2.3735702889e-09 -6.1412722289e-09
-2.2727272727e-01 -1.4696969697e+00 0.0000000000e+00 2.3814074377e-09 -6.1242451867e-09
-1.9696969697e-01 -1.4696969697e+00 0.0000000000e+00 2.3883315948e-09 -6.1094131767e-09
-1.6666666667e-01 -1.4696969697e+00 0.0000000000e+00 2.3943179699e-09 -6.0967514085e-09
-1.3636363636e-01 -1.4696969697e+00 0.0000000000e+00 2.3993447989e-09 -6.0862381182e-09
-1.0606060606e-01 -1.4696969697e+00 0.0000000000e+00 2.4033935575e-09 -6.0778547812e-09
-7.5757575758e-02 -1.4696969697e+00 0.0000000000e+00 2.4064491463e-09 -6.0715862985e-09
-4.5454545455e-02 -1.4696969697e+00 0.0000000000e+00 2.4085000455e-09 -6.0674211499e-09
-1.5151515152e-02 -1.4696969697e+00 0.0000000000e+00 2.4095384335e-09 -6.0653515140e-09
1.5151515152e-02 -1.4696969697e+00 0.0000000000e+00 2.4095602699e-09 -6.0653733504e-09
4.5454545455e-02 -1.4696969697e+00 0.0000000000e+00 2.4085653392e-09 -6.0674864437e-09
7.5757575758e-02 -1.4696969697e+00 0.0000000000e+00 2.4065572554e-09 -6.0716944075e-09
1.0606060606e-01 -1.4696969697e+00 0.0000000000e+00 2.4035434258e-09 -6.0780046496e-09
1.3636363636e-01 -1.4696969697e+00 0.0000000000e+00 2.3995349774e-09 -6.0864282967e-09
1.6666666667e-01 -1.4696969697e+00 0.0000000000e+00 2.3945466444e-09 -6.0969800830e-09
1.9696969697e-01 -1.4696969697e+00 0.0000000000e+00 2.3885966206e-09 -6.1096782025e-09
2.2727272727e-01 -1.4696969697e+00 0.0000000000e+00 2.3817063796e-09 -6.1245441286e-09
2.5757575758e-01 -1.4696969697e+00 0.0000000000e+00 2.3739004652e-09 -6.1416024052e-09
2.8787878788e-01 -1.4696969697e+00 0.0000000000e+00 2.3652062570e-09 -6.1608804119e-09
3.1818181818e-01 -1.4696969697e+00 0.0000000000e+00 2.3556537147e-09 -6.1824081083e-09
3.4848484848e-01 -1.4696969697e+00 0.0000000000e+00 2.3452751059e-09 -6.2062177621e-09
3.7878787879e-01 -1.4696969697e+00 0.0000000000e+00 2.3341047221e-09 -6.2323436647e-09
4.0909090909e-01 -1.4696969697e+00 0.0000000000e+00 2.3221785868e-09 -6.2608218398e-09
4.3939393939e-01 -1.4696969697e+00 0.0000000000e+00 2.3095341616e-09 -6.2916897488e-09
4.6969696970e-01 -1.4696969697e+00 0.0000000000e+00 2.2962100524e-09 -6.3249859977e-09
5.0000000000e-01 -1.4696969697e+00 0.0000000000e+00 2.2822457219e-09 -6.3607500492e-09
5.3030303030e-01 -1.4696969697e+00 0.0000000000e+00 2.2676812102e-09 -6.3990219433e-09
5.6060606061e-01 -1.4696969697e+00 0.0000000000e+00 2.2525568675e-09 -6.4398420303e-09
5.9090909091e-01 -1.4696969697e+00 0.0000000000e+00 2.2369131010e-09 -6.4832507174e-09
6.2121212121e-01 -1.4696969697e+00 0.0000000000e+00 2.2207901391e-09 -6.5292882330e-09
6.5151515152e-01 -1.4696969697e+00 0.0000000000e+00 2.2042278134e-09 -6.5779944086e-09
6.8181818182e-01 -1.4696969697e+00 0.0000000000e+00 2.1872653602e-09 -6.6294084806e-09
7.1212121212e-01 -1.4696969697e+00 0.0000000000e+00 2.1699412424e-09 -6.6835689119e-09
7.4242424242e-01 -1.4696969697e+00 0.0000000000e+00 2.1522929923e-09 -6.7405132347e-09
7.7272727273e-01 -1.4696969697e+00 0.0000000000e+00 2.1343570744e-09 -6.8002779136e-09
8.0303030303e-01 -1.4696969697e+00 0.0000000000e+00 2.1161687687e-09 -6.8628982287e-09
8.3333333333e-01 -1.4696969697e+00 0.0000000000e+00 2.0977620741e-09 -6.9284081786e-09
8.6363636364e-01 -1.4696969697e+00 0.0000000000e+00 2.0791696292e-09 -6.9968404021e-09
8.9393939394e-01 -1.4696969697e+00 0.0000000000e+00 2.0604226520e-09 -7.0682261172e-09
9.2424242424e-01 -1.4696969697e+00 0.0000000000e+00 2.0415508953e-09 -7.1425950768e-09
9.5454545455e-01 -1.4696969697e+00 0.0000000000e+00 2.0225826179e-09 -7.2199755394e-09
9.8484848485e-01 -1.4696969697e+00 0.0000000000e+00 2.0035445684e-09 -7.3003942538e-09
1.0151515152e+00 -1.4696969697e+00 0.0000000000e+00 1.9844619828e-09 -7.3838764561e-09
1.0454545455e+00 -1.4696969697e+00 0.0000000000e+00 1.9653585925e-09 -7.4704458774e-09
1.0757575758e+00 -1.4696969697e+00 0.0000000000e+00 1.9462566416e-09 -7.5601247621e-09
1.1060606061e+00 -1.4696969697e+00 0.0000000000e+00 1.9271769134e-09 -7.6529338933e-09
1.1363636364e+00 -1.4696969697e+00 0.0000000000e+00 1.9081387634e-09 -7.7488926266e-09
1.1666666667e+00 -1.4696969697e+00 0.0000000000e+00 1.8891601588e-09 -7.8480189292e-09
1.1969696970e+00 -1.4696969697e+00 0.0000000000e+00 1.8702577226e-09 -7.9503294240e-09
1.2272727273e+00 -1.4696969697e+00 0.0000000000e+00 1.8514467814e-09 -8.0558394377e-09
1.2575757576e+00 -1.4696969697e+00 0.0000000000e+00 1.8327414169e-09 -8.1645630521e-09
1.2878787879e+00 -1.4696969697e+00 0.0000000000e+00 1.8141545192e-09 -8.2765131570e-09
1.3181818182e+00 -1.4696969697e+00 0.0000000000e+00 1.7956978413e-09 -8.3917015057e-09
1.3484848485e+00 -1.4696969697e+00 0.0000000000e+00 1.7773820550e-09 -8.5101387697e-09
1.3787878788e+00 -1.4696969697e+00 0.0000000000e+00 1.7592168066e-09 -8.6318345956e-09
1.4090909091e+00 -1.4696969697e+00 0.0000000000e+00 1.7412107727e-09 -8.7567976599e-09
1.4393939394e+00 -1.4696969697e+00 0.0000000000e+00 1.7233717154e-09 -8.8850357246e-09
1.4696969697e+00 -1.4696969697e+00 0.0000000000e+00 1.7057065362e-09 -9.0165556913e-09
1.5000000000e+00 -1.4696969697e+00 0.0000000000e+00 1.6882213288e-09 -9.1513636537e-09
-1.5000000000e+00 -1.4393939394e+00 0.0000000000e+00 1.7052844501e-09 -9.0192416291e-09
-1.4696969697e+00 -1.4393939394e+00 0.0000000000e+00 1.7233052416e-09 -8.8849692508e-09
-1.4393939394e+00 -1.4393939394e+00 0.0000000000e+00 1.7415227981e-09 -8.7540016614e-09
-1.4090909091e+00 -1.4393939394e+00 0.0000000000e+00 1.7599313054e-09 -8.6263330467e-09
-1.3787878788e+00 -1.4393939394e+00 0.0000000000e+00 1.7785241122e-09 -8.5019567553e-09
-1.3484848485e+00 -1.4393939394e+00 0.0000000000e+00 1.7972936722e-09 -8.3808652410e-09
-1.3181818182e+00 -1.4393939394e+00 0.0000000000e+00 1.8162314849e-09 -8.2630500033e-09
-1.2878787879e+00 -1.4393939394e+00 0.0000000000e+00 1.8353280348e-09 -8.1485015267e-09
-1.2575757576e+00 -1.4393939394e+00 0.0000000000e+00 1.8545727300e-09 -8.0372092192e-09
-1.2272727273e+00 -1.4393939394e+00 0.0000000000e+00 1.8739538396e-09 -7.9291613500e-09
-1.1969696970e+00 -1.4393939394e+00 0.0000000000e+00 1.8934584314e-09 -7.8243449869e-09
-1.1666666667e+00 -1.4393939394e+00 0.0000000000e+00 1.9130723100e-09 -7.7227459345e-09
-1.1363636364e+00 -1.4393939394e+00 0.0000000000e+00 1.9327799560e-09 -7.6243486733e-09
-1.1060606061e+00 -1.4393939394e+00 0.0000000000e+00 1.9525644668e-09 -7.5291363009e-09
-1.0757575758e+00 -1.4393939394e+00 0.0000000000e+00 1.9724075008e-09 -7.4370904754e-09
-1.0454545455e+00 -1.4393939394e+00 0.0000000000e+00 1.9922892244e-09 -7.3481913634e-09
-1.0151515152e+00 -1.4393939394e+00 0.0000000000e+00 2.0121882649e-09 -7.2624175923e-09
