# x y z potential pseudo_potential
-1.5000000000e+00 0.0000000000e+00 -1.5000000000e+00 1.6709942280e-09 -5.4787119753e-09
-1.4696969697e+00 0.0000000000e+00 -1.5000000000e+00 1.6879339102e-09 -5.3433584877e-09
-1.4393939394e+00 0.0000000000e+00 -1.5000000000e+00 1.7050361743e-09 -5.2112756059e-09
-1.4090909091e+00 0.0000000000e+00 -1.5000000000e+00 1.7222946301e-09 -5.0824569397e-09
-1.3787878788e+00 0.0000000000e+00 -1.5000000000e+00 1.7397021125e-09 -4.9568953240e-09
-1.3484848485e+00 0.0000000000e+00 -1.5000000000e+00 1.7572506339e-09 -4.8345827711e-09
-1.3181818182e+00 0.0000000000e+00 -1.5000000000e+00 1.7749313366e-09 -4.7155104234e-09
-1.2878787879e+00 0.0000000000e+00 -1.5000000000e+00 1.7927344438e-09 -4.5996685041e-09
-1.2575757576e+00 0.0000000000e+00 -1.5000000000e+00 1.8106492110e-09 -4.4870462686e-09
-1.2272727273e+00 0.0000000000e+00 -1.5000000000e+00 1.8286638779e-09 -4.3776319567e-09
-1.1969696970e+00 0.0000000000e+00 -1.5000000000e+00 1.8467656204e-09 -4.2714127443e-09
-1.1666666667e+00 0.0000000000e+00 -1.5000000000e+00 1.8649405043e-09 -4.1683746971e-09
-1.1363636364e+00 0.0000000000e+00 -1.5000000000e+00 1.8831734411e-09 -4.0685027268e-09
-1.1060606061e+00 0.0000000000e+00 -1.5000000000e+00 1.9014481458e-09 -3.9717805481e-09
-1.0757575758e+00 0.0000000000e+00 -1.5000000000e+00 1.9197470983e-09 -3.8781906413e-09
-1.0454545455e+00 0.0000000000e+00 -1.5000000000e+00 1.9380515094e-09 -3.7877142168e-09
-1.0151515152e+00 0.0000000000e+00 -1.5000000000e+00 1.9563412907e-09 -3.7003311864e-09
-9.8484848485e-01 0.0000000000e+00 -1.5000000000e+00 1.9745950317e-09 -3.6160201396e-09
-9.5454545455e-01 0.0000000000e+00 -1.5000000000e+00 1.9927899829e-09 -3.5347583268e-09
-9.2424242424e-01 0.0000000000e+00 -1.5000000000e+00 2.0109020475e-09 -3.4565216514e-09
-8.9393939394e-01 0.0000000000e+00 -1.5000000000e+00 2.0289057822e-09 -3.3812846699e-09
-8.6363636364e-01 0.0000000000e+00 -1.5000000000e+00 2.0467744078e-09 -3.3090206032e-09
-8.3333333333e-01 0.0000000000e+00 -1.5000000000e+00 2.0644798317e-09 -3.2397013587e-09
-8.0303030303e-01 0.0000000000e+00 -1.5000000000e+00 2.0819926826e-09 -3.1732975650e-09
-7.7272727273e-01 0.0000000000e+00 -1.5000000000e+00 2.0992823586e-09 -3.1097786203e-09
-7.4242424242e-01 0.0000000000e+00 -1.5000000000e+00 2.1163170902e-09 -3.0491127551e-09
-7.1212121212e-01 0.0000000000e+00 -1.5000000000e+00 2.1330640187e-09 -2.9912671106e-09
-6.8181818182e-01 0.0000000000e+00 -1.5000000000e+00 2.1494892899e-09 -2.9362078327e-09
-6.5151515152e-01 0.0000000000e+00 -1.5000000000e+00 2.1655581660e-09 -2.8839001837e-09
-6.2121212121e-01 0.0000000000e+00 -1.5000000000e+00 2.1812351538e-09 -2.8343086701e-09
