# x y z potential pseudo_potential
0.0000000000e+00 -1.5000000000e+00 -1.5000000000e+00 1.6697675003e-09 -5.4774852476e-09
0.0000000000e+00 -1.4696969697e+00 -1.5000000000e+00 1.6866939865e-09 -5.3421185640e-09
0.0000000000e+00 -1.4393939394e+00 -1.5000000000e+00 1.7037840362e-09 -5.2100234679e-09
0.0000000000e+00 -1.4090909091e+00 -1.5000000000e+00 1.7210313703e-09 -5.0811936800e-09
0.0000000000e+00 -1.3787878788e+00 -1.5000000000e+00 1.7384289399e-09 -4.9556221513e-09
0.0000000000e+00 -1.3484848485e+00 -1.5000000000e+00 1.7559688786e-09 -4.8333010158e-09
0.0000000000e+00 -1.3181818182e+00 -1.5000000000e+00 1.7736424545e-09 -4.7142215413e-09
0.0000000000e+00 -1.2878787879e+00 -1.5000000000e+00 1.7914400205e-09 -4.5983740807e-09
0.0000000000e+00 -1.2575757576e+00 -1.5000000000e+00 1.8093509650e-09 -4.4857480226e-09
0.0000000000e+00 -1.2272727273e+00 -1.5000000000e+00 1.8273636630e-09 -4.3763317418e-09
0.0000000000e+00 -1.1969696970e+00 -1.5000000000e+00 1.8454654269e-09 -4.2701125508e-09
0.0000000000e+00 -1.1666666667e+00 -1.5000000000e+00 1.8636424593e-09 -4.1670766522e-09
0.0000000000e+00 -1.1363636364e+00 -1.5000000000e+00 1.8818798070e-09 -4.0672090927e-09
0.0000000000e+00 -1.1060606061e+00 -1.5000000000e+00 1.9001613173e-09 -3.9704937196e-09
0.0000000000e+00 -1.0757575758e+00 -1.5000000000e+00 1.9184695976e-09 -3.8769131405e-09
0.0000000000e+00 -1.0454545455e+00 -1.5000000000e+00 1.9367859792e-09 -3.7864486866e-09
0.0000000000e+00 -1.0151515152e+00 -1.5000000000e+00 1.9550904853e-09 -3.6990803810e-09
0.0000000000e+00 -9.8484848485e-01 -1.5000000000e+00 1.9733618048e-09 -3.6147869127e-09
0.0000000000e+00 -9.5454545455e-01 -1.5000000000e+00 1.9915772738e-09 -3.5335456178e-09
0.0000000000e+00 -9.2424242424e-01 -1.5000000000e+00 2.0097128636e-09 -3.4553324675e-09
0.0000000000e+00 -8.9393939394e-01 -1.5000000000e+00 2.0277431787e-09 -3.3801220664e-09
0.0000000000e+00 -8.6363636364e-01 -1.5000000000e+00 2.0456414646e-09 -3.3078876600e-09
0.0000000000e+00 -8.3333333333e-01 -1.5000000000e+00 2.0633796267e-09 -3.2386011537e-09
0.0000000000e+00 -8.0303030303e-01 -1.5000000000e+00 2.0809282624e-09 -3.1722331448e-09
0.0000000000e+00 -7.7272727273e-01 -1.5000000000e+00 2.0982567059e-09 -3.1087529676e-09
0.0000000000e+00 -7.4242424242e-01 -1.5000000000e+00 2.1153330884e-09 -3.0481287533e-09
0.0000000000e+00 -7.1212121212e-01 -1.5000000000e+00 2.1321244138e-09 -2.9903275057e-09
0.0000000000e+00 -6.8181818182e-01 -1.5000000000e+00 2.1485966506e-09 -2.9353151934e-09
0.0000000000e+00 -6.5151515152e-01 -1.5000000000e+00 2.1647148418e-09 -2.8830568595e-09
0.0000000000e+00 -6.2121212121e-01 -1.5000000000e+00 2.1804432322e-09 -2.8335167485e-09
0.0000000000e+00 -5.9090909091e-01 -1.5000000000e+00 2.1957454129e-09 -2.7866584518e-09
0.0000000000e+00 -5.6060606061e-01 -1.5000000000e+00 2.2105844855e-09 -2.7424450708e-09
0.0000000000e+00 -5.3030303030e-01 -1.5000000000e+00 2.2249232421e-09 -2.7008393977e-09
0.0000000000e+00 -5.0000000000e-01 -1.5000000000e+00 2.2387243635e-09 -2.6618041132e-09
0.0000000000e+00 -4.6969696970e-01 -1.5000000000e+00 2.2519506323e-09 -2.6253020000e-09
0.0000000000e+00 -4.3939393939e-01 -1.5000000000e+00 2.2645651611e-09 -2.5912961708e-09
0.0000000000e+00 -4.0909090909e-01 -1.5000000000e+00 2.2765316328e-09 -2.5597503082e-09
0.0000000000e+00 -3.7878787879e-01 -1.5000000000e+00 2.2878145506e-09 -2.5306289156e-09
0.0000000000e+00 -3.4848484848e-01 -1.5000000000e+00 2.2983794960e-09 -2.5038975746e-09
0.0000000000e+00 -3.1818181818e-01 -1.5000000000e+00 2.3081933910e-09 -2.4795232070e-09
0.0000000000e+00 -2.8787878788e-01 -1.5000000000e+00 2.3172247611e-09 -2.4574743383e-09
0.0000000000e+00 -2.5757575758e-01 -1.5000000000e+00 2.3254439954e-09 -2.4377213578e-09
0.0000000000e+00 -2.2727272727e-01 -1.5000000000e+00 2.3328236008e-09 -2.4202367722e-09
0.0000000000e+00 -1.9696969697e-01 -1.5000000000e+00 2.3393384446e-09 -2.4049954489e-09
0.0000000000e+00 -1.6666666667e-01 -1.5000000000e+00 2.3449659839e-09 -2.3919748450e-09
0.0000000000e+00 -1.3636363636e-01 -1.5000000000e+00 2.3496864751e-09 -2.3811552168e-09
0.0000000000e+00 -1.0606060606e-01 -1.5000000000e+00 2.3534831622e-09 -2.3725198084e-09
0.0000000000e+00 -7.5757575758e-02 -1.5000000000e+00 2.3563424394e-09 -2.3660550140e-09
0.0000000000e+00 -4.5454545455e-02 -1.5000000000e+00 2.3582539847e-09 -2.3617505116e-09
0.0000000000e+00 -1.5151515152e-02 -1.5000000000e+00 2.3592108626e-09 -2.3595993656e-09
0.0000000000e+00 1.5151515152e-02 -1.5000000000e+00 2.3592095936e-09 -2.3595980966e-09
0.0000000000e+00 4.5454545455e-02 -1.5000000000e+00 2.3582501892e-09 -2.3617467160e-09
0.0000000000e+00 7.5757575758e-02 -1.5000000000e+00 2.3563361515e-09 -2.3660487261e-09
0.0000000000e+00 1.0606060606e-01 -1.5000000000e+00 2.3534744382e-09 -2.3725110844e-09
0.0000000000e+00 1.3636363636e-01 -1.5000000000e+00 2.3496753923e-09 -2.3811441340e-09
0.0000000000e+00 1.6666666667e-01 -1.5000000000e+00 2.3449526390e-09 -2.3919615001e-09
0.0000000000e+00 1.9696969697e-01 -1.5000000000e+00 2.3393229523e-09 -2.4049799566e-09
0.0000000000e+00 2.2727272727e-01 -1.5000000000e+00 2.3328060914e-09 -2.4202192628e-09
0.0000000000e+00 2.5757575758e-01 -1.5000000000e+00 2.3254246127e-09 -2.4377019752e-09
0.0000000000e+00 2.8787878788e-01 -1.5000000000e+00 2.3172036601e-09 -2.4574532373e-09
0.0000000000e+00 3.1818181818e-01 -1.5000000000e+00 2.3081707351e-09 -2.4795005511e-09
0.0000000000e+00 3.4848484848e-01 -1.5000000000e+00 2.2983554547e-09 -2.5038735333e-09
0.0000000000e+00 3.7878787879e-01 -1.5000000000e+00 2.2877892970e-09 -2.5306036621e-09
0.0000000000e+00 4.0909090909e-01 -1.5000000000e+00 2.2765053412e-09 -2.5597240166e-09
0.0000000000e+00 4.3939393939e-01 -1.5000000000e+00 2.2645380047e-09 -2.5912690144e-09
0.0000000000e+00 4.6969696970e-01 -1.5000000000e+00 2.2519227811e-09 -2.6252741488e-09
0.0000000000e+00 5.0000000000e-01 -1.5000000000e+00 2.2386959827e-09 -2.6617757324e-09
0.0000000000e+00 5.3030303030e-01 -1.5000000000e+00 2.2248944903e-09 -2.7008106458e-09
0.0000000000e+00 5.6060606061e-01 -1.5000000000e+00 2.2105555132e-09 -2.7424160984e-09
0.0000000000e+00 5.9090909091e-01 -1.5000000000e+00 2.1957163617e-09 -2.7866294005e-09
0.0000000000e+00 6.2121212121e-01 -1.5000000000e+00 2.1804142337e-09 -2.8334877500e-09
0.0000000000e+00 6.5151515152e-01 -1.5000000000e+00 2.1646860173e-09 -2.8830280349e-09
0.0000000000e+00 6.8181818182e-01 -1.5000000000e+00 2.1485681102e-09 -2.9352866530e-09
0.0000000000e+00 7.1212121212e-01 -1.5000000000e+00 2.1320962568e-09 -2.9902993487e-09
0.0000000000e+00 7.4242424242e-01 -1.5000000000e+00 2.1153054030e-09 -3.0481010679e-09
0.0000000000e+00 7.7272727273e-01 -1.5000000000e+00 2.0982295693e-09 -3.1087258310e-09
0.0000000000e+00 8.0303030303e-01 -1.5000000000e+00 2.0809017412e-09 -3.1722066236e-09
0.0000000000e+00 8.3333333333e-01 -1.5000000000e+00 2.0633537774e-09 -3.2385753043e-09
0.0000000000e+00 8.6363636364e-01 -1.5000000000e+00 2.0456163340e-09 -3.3078625294e-09
0.0000000000e+00 8.9393939394e-01 -1.5000000000e+00 2.0277188046e-09 -3.3800976924e-09
0.0000000000e+00 9.2424242424e-01 -1.5000000000e+00 2.0096892754e-09 -3.4553088793e-09
0.0000000000e+00 9.5454545455e-01 -1.5000000000e+00 1.9915544931e-09 -3.5335228370e-09
0.0000000000e+00 9.8484848485e-01 -1.5000000000e+00 1.9733398461e-09 -3.6147649539e-09
0.0000000000e+00 1.0151515152e+00 -1.5000000000e+00 1.9550693566e-09 -3.6990592523e-09
0.0000000000e+00 1.0454545455e+00 -1.5000000000e+00 1.9367656830e-09 -3.7864283904e-09
0.0000000000e+00 1.0757575758e+00 -1.5000000000e+00 1.9184501312e-09 -3.8768936741e-09
0.0000000000e+00 1.1060606061e+00 -1.5000000000e+00 1.9001426735e-09 -3.9704750759e-09
0.0000000000e+00 1.1363636364e+00 -1.5000000000e+00 1.8818619750e-09 -4.0671912606e-09
0.0000000000e+00 1.1666666667e+00 -1.5000000000e+00 1.8636254248e-09 -4.1670596176e-09
0.0000000000e+00 1.1969696970e+00 -1.5000000000e+00 1.8454491728e-09 -4.2700962966e-09
0.0000000000e+00 1.2272727273e+00 -1.5000000000e+00 1.8273481700e-09 -4.3763162488e-09
0.0000000000e+00 1.2575757576e+00 -1.5000000000e+00 1.8093362119e-09 -4.4857332695e-09
0.0000000000e+00 1.2878787879e+00 -1.5000000000e+00 1.7914259847e-09 -4.5983600449e-09
0.0000000000e+00 1.3181818182e+00 -1.5000000000e+00 1.7736291122e-09 -4.7142081990e-09
0.0000000000e+00 1.3484848485e+00 -1.5000000000e+00 1.7559562052e-09 -4.8332883424e-09
0.0000000000e+00 1.3787878788e+00 -1.5000000000e+00 1.7384169103e-09 -4.9556101217e-09
0.0000000000e+00 1.4090909091e+00 -1.5000000000e+00 1.7210199591e-09 -5.0811822688e-09
0.0000000000e+00 1.4393939394e+00 -1.5000000000e+00 1.7037732180e-09 -5.2100126496e-09
0.0000000000e+00 1.4696969697e+00 -1.5000000000e+00 1.6866837358e-09 -5.3421083133e-09
0.0000000000e+00 1.5000000000e+00 -1.5000000000e+00 1.6697577920e-09 -5.4774755393e-09
0.0000000000e+00 -1.5000000000e+00 -1.4696969697e+00 1.6867057157e-09 -5.4944234630e-09
0.0000000000e+00 -1.4696969697e+00 -1.4696969697e+00 1.7041579627e-09 -5.3595825403e-09
0.0000000000e+00 -1.4393939394e+00 -1.4696969697e+00 1.7217899463e-09 -5.2280293780e-09
0.0000000000e+00 -1.4090909091e+00 -1.4696969697e+00 1.7395956279e-09 -5.0997579375e-09
0.0000000000e+00 -1.3787878788e+00 -1.4696969697e+00 1.7575681669e-09 -4.9747613784e-09
0.0000000000e+00 -1.3484848485e+00 -1.4696969697e+00 1.7756998685e-09 -4.8530320057e-09
0.0000000000e+00 -1.3181818182e+00 -1.4696969697e+00 1.7939821292e-09 -4.7345612160e-09
0.0000000000e+00 -1.2878787879e+00 -1.4696969697e+00 1.8124053825e-09 -4.6193394428e-09
0.0000000000e+00 -1.2575757576e+00 -1.4696969697e+00 1.8309590431e-09 -4.5073561007e-09
0.0000000000e+00 -1.2272727273e+00 -1.4696969697e+00 1.8496314508e-09 -4.3985995296e-09
0.0000000000e+00 -1.1969696970e+00 -1.4696969697e+00 1.8684098155e-09 -4.2930569393e-09
0.0000000000e+00 -1.1666666667e+00 -1.4696969697e+00 1.8872801618e-09 -4.1907143547e-09
0.0000000000e+00 -1.1363636364e+00 -1.4696969697e+00 1.9062272761e-09 -4.0915565618e-09
0.0000000000e+00 -1.1060606061e+00 -1.4696969697e+00 1.9252346546e-09 -3.9955670569e-09
0.0000000000e+00 -1.0757575758e+00 -1.4696969697e+00 1.9442844552e-09 -3.9027279981e-09
0.0000000000e+00 -1.0454545455e+00 -1.4696969697e+00 1.9633574528e-09 -3.8130201602e-09
0.0000000000e+00 -1.0151515152e+00 -1.4696969697e+00 1.9824329994e-09 -3.7264228951e-09
0.0000000000e+00 -9.8484848485e-01 -1.4696969697e+00 2.0014889898e-09 -3.6429140977e-09
0.0000000000e+00 -9.5454545455e-01 -1.4696969697e+00 2.0205018347e-09 -3.5624701786e-09
0.0000000000e+00 -9.2424242424e-01 -1.4696969697e+00 2.0394464415e-09 -3.4850660454e-09
0.0000000000e+00 -8.9393939394e-01 -1.4696969697e+00 2.0582962053e-09 -3.4106750930e-09
0.0000000000e+00 -8.6363636364e-01 -1.4696969697e+00 2.0770230098e-09 -3.3392692052e-09
0.0000000000e+00 -8.3333333333e-01 -1.4696969697e+00 2.0955972415e-09 -3.2708187685e-09
0.0000000000e+00 -8.0303030303e-01 -1.4696969697e+00 2.1139878164e-09 -3.2052926988e-09
0.0000000000e+00 -7.7272727273e-01 -1.4696969697e+00 2.1321622223e-09 -3.1426584840e-09
0.0000000000e+00 -7.4242424242e-01 -1.4696969697e+00 2.1500865775e-09 -3.0828822423e-09
0.0000000000e+00 -7.1212121212e-01 -1.4696969697e+00 2.1677257061e-09 -3.0259287980e-09
