# x y z potential pseudo_potential
-1.5000000000e+00 -1.5000000000e+00 0.0000000000e+00 1.6711195655e-09 -9.2865550602e-09
-1.4696969697e+00 -1.5000000000e+00 0.0000000000e+00 1.6880682512e-09 -9.1512105761e-09
-1.4393939394e+00 -1.5000000000e+00 0.0000000000e+00 1.7051801977e-09 -9.0191373767e-09
-1.4090909091e+00 -1.5000000000e+00 0.0000000000e+00 1.7224490632e-09 -8.8903291202e-09
-1.3787878788e+00 -1.5000000000e+00 0.0000000000e+00 1.7398677336e-09 -8.7647786924e-09
-1.3484848485e+00 -1.5000000000e+00 0.0000000000e+00 1.7574282749e-09 -8.6424781594e-09
-1.3181818182e+00 -1.5000000000e+00 0.0000000000e+00 1.7751218854e-09 -8.5234187196e-09
-1.2878787879e+00 -1.5000000000e+00 0.0000000000e+00 1.7929388468e-09 -8.4075906544e-09
-1.2575757576e+00 -1.5000000000e+00 0.0000000000e+00 1.8108684752e-09 -8.2949832801e-09
-1.2272727273e+00 -1.5000000000e+00 0.0000000000e+00 1.8288990726e-09 -8.1855848988e-09
-1.1969696970e+00 -1.5000000000e+00 0.0000000000e+00 1.8470178792e-09 -8.0793827504e-09
-1.1666666667e+00 -1.5000000000e+00 0.0000000000e+00 1.8652110260e-09 -7.9763629662e-09
-1.1363636364e+00 -1.5000000000e+00 0.0000000000e+00 1.8834634904e-09 -7.8765105234e-09
-1.1060606061e+00 -1.5000000000e+00 0.0000000000e+00 1.9017590535e-09 -7.7798092032e-09
-1.0757575758e+00 -1.5000000000e+00 0.0000000000e+00 1.9200802609e-09 -7.6862415511e-09
-1.0454545455e+00 -1.5000000000e+00 0.0000000000e+00 1.9384083870e-09 -7.5957888417e-09
-1.0151515152e+00 -1.5000000000e+00 0.0000000000e+00 1.9567234053e-09 -7.5084310483e-09
-9.8484848485e-01 -1.5000000000e+00 0.0000000000e+00 1.9750039633e-09 -7.4241468185e-09
-9.5454545455e-01 -1.5000000000e+00 0.0000000000e+00 1.9932273648e-09 -7.3429134561e-09
-9.2424242424e-01 -1.5000000000e+00 0.0000000000e+00 2.0113695604e-09 -7.2647069116e-09
-8.9393939394e-01 -1.5000000000e+00 0.0000000000e+00 2.0294051462e-09 -7.1895017813e-09
-8.6363636364e-01 -1.5000000000e+00 0.0000000000e+00 2.0473073736e-09 -7.1172713163e-09
-8.3333333333e-01 -1.5000000000e+00 0.0000000000e+00 2.0650481691e-09 -7.0479874434e-09
-8.0303030303e-01 -1.5000000000e+00 0.0000000000e+00 2.0825981679e-09 -6.9816207976e-09
-7.7272727273e-01 -1.5000000000e+00 0.0000000000e+00 2.0999267598e-09 -6.9181407688e-09
-7.4242424242e-01 -1.5000000000e+00 0.0000000000e+00 2.1170021502e-09 -6.8575155624e-09
-7.1212121212e-01 -1.5000000000e+00 0.0000000000e+00 2.1337914362e-09 -6.7997122755e-09
-6.8181818182e-01 -1.5000000000e+00 0.0000000000e+00 2.1502606994e-09 -6.7446969896e-09
-6.5151515152e-01 -1.5000000000e+00 0.0000000000e+00 2.1663751151e-09 -6.6924348801e-09
-6.2121212121e-01 -1.5000000000e+00 0.0000000000e+00 2.1820990788e-09 -6.6428903425e-09
-5.9090909091e-01 -1.5000000000e+00 0.0000000000e+00 2.1973963507e-09 -6.5960271368e-09
-5.6060606061e-01 -1.5000000000e+00 0.0000000000e+00 2.2122302170e-09 -6.5518085496e-09
-5.3030303030e-01 -1.5000000000e+00 0.0000000000e+00 2.2265636692e-09 -6.5101975720e-09
-5.0000000000e-01 -1.5000000000e+00 0.0000000000e+00 2.2403595984e-09 -6.4711570954e-09
-4.6969696970e-01 -1.5000000000e+00 0.0000000000e+00 2.2535810065e-09 -6.4346501215e-09
-4.3939393939e-01 -1.5000000000e+00 0.0000000000e+00 2.2661912297e-09 -6.4006399867e-09
-4.0909090909e-01 -1.5000000000e+00 0.0000000000e+00 2.2781541753e-09 -6.3690905980e-09
-3.7878787879e-01 -1.5000000000e+00 0.0000000000e+00 2.2894345672e-09 -6.3399666796e-09
-3.4848484848e-01 -1.5000000000e+00 0.0000000000e+00 2.2999981994e-09 -6.3132340253e-09
-3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 2.3098121929e-09 -6.2888597562e-09
-2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 2.3188452543e-09 -6.2668125789e-09
-2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 2.3270679311e-09 -6.2470630409e-09
-2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 2.3344528616e-09 -6.2295837804e-09
-1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 2.3409750135e-09 -6.2143497651e-09
-1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 2.3466119096e-09 -6.2013385180e-09
-1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 2.3513438352e-09 -6.1905303243e-09
-1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 2.3551540247e-09 -6.1819084183e-09
-7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 2.3580288226e-09 -6.1754591445e-09
-4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 2.3599578177e-09 -6.1711720919e-09
-1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 2.3609339469e-09 -6.1690401972e-09
1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 2.3609535665e-09 -6.1690598168e-09
4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 2.3600164906e-09 -6.1712307647e-09
7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 2.3581259938e-09 -6.1755563158e-09
1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 2.3552887814e-09 -6.1820431749e-09
1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 2.3515149235e-09 -6.1907014125e-09
1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 2.3468177581e-09 -6.2015443665e-09
1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 2.3412137623e-09 -6.2145885140e-09
2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 2.3347223954e-09 -6.2298533142e-09
2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 2.3273659163e-09 -6.2473610260e-09
2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 2.3191691781e-09 -6.2671365027e-09
3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 2.3101594047e-09 -6.2892069680e-09
