# x y z potential pseudo_potential
-1.5000000000e+00 0.0000000000e+00 -1.5000000000e+00 1.6709946394e-09 -5.4787123867e-09
-1.4696969697e+00 0.0000000000e+00 -1.5000000000e+00 1.6879343257e-09 -5.3433589032e-09
-1.4393939394e+00 0.0000000000e+00 -1.5000000000e+00 1.7050365939e-09 -5.2112760256e-09
-1.4090909091e+00 0.0000000000e+00 -1.5000000000e+00 1.7222950539e-09 -5.0824573636e-09
-1.3787878788e+00 0.0000000000e+00 -1.5000000000e+00 1.7397025406e-09 -4.9568957520e-09
-1.3484848485e+00 0.0000000000e+00 -1.5000000000e+00 1.7572510663e-09 -4.8345832035e-09
-1.3181818182e+00 0.0000000000e+00 -1.5000000000e+00 1.7749317733e-09 -4.7155108601e-09
-1.2878787879e+00 0.0000000000e+00 -1.5000000000e+00 1.7927348848e-09 -4.5996689451e-09
-1.2575757576e+00 0.0000000000e+00 -1.5000000000e+00 1.8106496564e-09 -4.4870467140e-09
-1.2272727273e+00 0.0000000000e+00 -1.5000000000e+00 1.8286643277e-09 -4.3776324065e-09
-1.1969696970e+00 0.0000000000e+00 -1.5000000000e+00 1.8467660746e-09 -4.2714131985e-09
-1.1666666667e+00 0.0000000000e+00 -1.5000000000e+00 1.8649409630e-09 -4.1683751558e-09
-1.1363636364e+00 0.0000000000e+00 -1.5000000000e+00 1.8831739042e-09 -4.0685031899e-09
-1.1060606061e+00 0.0000000000e+00 -1.5000000000e+00 1.9014486134e-09 -3.9717810158e-09
-1.0757575758e+00 0.0000000000e+00 -1.5000000000e+00 1.9197475705e-09 -3.8781911134e-09
-1.0454545455e+00 0.0000000000e+00 -1.5000000000e+00 1.9380519861e-09 -3.7877146935e-09
-1.0151515152e+00 0.0000000000e+00 -1.5000000000e+00 1.9563417719e-09 -3.7003316676e-09
-9.8484848485e-01 0.0000000000e+00 -1.5000000000e+00 1.9745955174e-09 -3.6160206253e-09
-9.5454545455e-01 0.0000000000e+00 -1.5000000000e+00 1.9927904731e-09 -3.5347588171e-09
-9.2424242424e-01 0.0000000000e+00 -1.5000000000e+00 2.0109025422e-09 -3.4565221461e-09
-8.9393939394e-01 0.0000000000e+00 -1.5000000000e+00 2.0289062814e-09 -3.3812851691e-09
-8.6363636364e-01 0.0000000000e+00 -1.5000000000e+00 2.0467749115e-09 -3.3090211069e-09
-8.3333333333e-01 0.0000000000e+00 -1.5000000000e+00 2.0644803399e-09 -3.2397018668e-09
-8.0303030303e-01 0.0000000000e+00 -1.5000000000e+00 2.0819931952e-09 -3.1732980775e-09
-7.7272727273e-01 0.0000000000e+00 -1.5000000000e+00 2.0992828755e-09 -3.1097791372e-09
-7.4242424242e-01 0.0000000000e+00 -1.5000000000e+00 2.1163176115e-09 -3.0491132764e-09
