# x y z potential pseudo_potential
0.0000000000e+00 -1.5000000000e+00 -1.5000000000e+00 1.6697679233e-09 -5.4774856706e-09
0.0000000000e+00 -1.4696969697e+00 -1.5000000000e+00 1.6866944137e-09 -5.3421189913e-09
0.0000000000e+00 -1.4393939394e+00 -1.5000000000e+00 1.7037844677e-09 -5.2100238994e-09
0.0000000000e+00 -1.4090909091e+00 -1.5000000000e+00 1.7210318061e-09 -5.0811941157e-09
0.0000000000e+00 -1.3787878788e+00 -1.5000000000e+00 1.7384293799e-09 -4.9556225914e-09
0.0000000000e+00 -1.3484848485e+00 -1.5000000000e+00 1.7559693230e-09 -4.8333014602e-09
0.0000000000e+00 -1.3181818182e+00 -1.5000000000e+00 1.7736429033e-09 -4.7142219901e-09
0.0000000000e+00 -1.2878787879e+00 -1.5000000000e+00 1.7914404736e-09 -4.5983745339e-09
0.0000000000e+00 -1.2575757576e+00 -1.5000000000e+00 1.8093514226e-09 -4.4857484802e-09
0.0000000000e+00 -1.2272727273e+00 -1.5000000000e+00 1.8273641250e-09 -4.3763322038e-09
0.0000000000e+00 -1.1969696970e+00 -1.5000000000e+00 1.8454658934e-09 -4.2701130173e-09
0.0000000000e+00 -1.1666666667e+00 -1.5000000000e+00 1.8636429303e-09 -4.1670771231e-09
0.0000000000e+00 -1.1363636364e+00 -1.5000000000e+00 1.8818802825e-09 -4.0672095681e-09
0.0000000000e+00 -1.1060606061e+00 -1.5000000000e+00 1.9001617972e-09 -3.9704941996e-09
0.0000000000e+00 -1.0757575758e+00 -1.5000000000e+00 1.9184700820e-09 -3.8769136250e-09
0.0000000000e+00 -1.0454545455e+00 -1.5000000000e+00 1.9367864682e-09 -3.7864491755e-09
0.0000000000e+00 -1.0151515152e+00 -1.5000000000e+00 1.9550909787e-09 -3.6990808744e-09
0.0000000000e+00 -9.8484848485e-01 -1.5000000000e+00 1.9733623027e-09 -3.6147874106e-09
0.0000000000e+00 -9.5454545455e-01 -1.5000000000e+00 1.9915777762e-09 -3.5335461201e-09
0.0000000000e+00 -9.2424242424e-01 -1.5000000000e+00 2.0097133704e-09 -3.4553329743e-09
0.0000000000e+00 -8.9393939394e-01 -1.5000000000e+00 2.0277436899e-09 -3.3801225776e-09
0.0000000000e+00 -8.6363636364e-01 -1.5000000000e+00 2.0456419801e-09 -3.3078881755e-09
0.0000000000e+00 -8.3333333333e-01 -1.5000000000e+00 2.0633801465e-09 -3.2386016735e-09
0.0000000000e+00 -8.0303030303e-01 -1.5000000000e+00 2.0809287865e-09 -3.1722336689e-09
0.0000000000e+00 -7.7272727273e-01 -1.5000000000e+00 2.0982572342e-09 -3.1087534959e-09
0.0000000000e+00 -7.4242424242e-01 -1.5000000000e+00 2.1153336209e-09 -3.0481292858e-09
0.0000000000e+00 -7.1212121212e-01 -1.5000000000e+00 2.1321249503e-09 -2.9903280422e-09
0.0000000000e+00 -6.8181818182e-01 -1.5000000000e+00 2.1485971911e-09 -2.9353157339e-09
0.0000000000e+00 -6.5151515152e-01 -1.5000000000e+00 2.1647153863e-09 -2.8830574039e-09
0.0000000000e+00 -6.2121212121e-01 -1.5000000000e+00 2.1804437804e-09 -2.8335172967e-09
0.0000000000e+00 -5.9090909091e-01 -1.5000000000e+00 2.1957459648e-09 -2.7866590037e-09
0.0000000000e+00 -5.6060606061e-01 -1.5000000000e+00 2.2105850410e-09 -2.7424456263e-09
0.0000000000e+00 -5.3030303030e-01 -1.5000000000e+00 2.2249238011e-09 -2.7008399566e-09
0.0000000000e+00 -5.0000000000e-01 -1.5000000000e+00 2.2387249257e-09 -2.6618046754e-09
0.0000000000e+00 -4.6969696970e-01 -1.5000000000e+00 2.2519511976e-09 -2.6253025654e-09
0.0000000000e+00 -4.3939393939e-01 -1.5000000000e+00 2.2645657295e-09 -2.5912967392e-09
0.0000000000e+00 -4.0909090909e-01 -1.5000000000e+00 2.2765322040e-09 -2.5597508795e-09
0.0000000000e+00 -3.7878787879e-01 -1.5000000000e+00 2.2878151245e-09 -2.5306294896e-09
0.0000000000e+00 -3.4848484848e-01 -1.5000000000e+00 2.2983800724e-09 -2.5038981510e-09
0.0000000000e+00 -3.1818181818e-01 -1.5000000000e+00 2.3081939698e-09 -2.4795237858e-09
0.0000000000e+00 -2.8787878788e-01 -1.5000000000e+00 2.3172253420e-09 -2.4574749192e-09
0.0000000000e+00 -2.5757575758e-01 -1.5000000000e+00 2.3254445782e-09 -2.4377219406e-09
0.0000000000e+00 -2.2727272727e-01 -1.5000000000e+00 2.3328241853e-09 -2.4202373567e-09
0.0000000000e+00 -1.9696969697e-01 -1.5000000000e+00 2.3393390307e-09 -2.4049960350e-09
0.0000000000e+00 -1.6666666667e-01 -1.5000000000e+00 2.3449665712e-09 -2.3919754323e-09
0.0000000000e+00 -1.3636363636e-01 -1.5000000000e+00 2.3496870635e-09 -2.3811558052e-09
0.0000000000e+00 -1.0606060606e-01 -1.5000000000e+00 2.3534837514e-09 -2.3725203976e-09
0.0000000000e+00 -7.5757575758e-02 -1.5000000000e+00 2.3563430293e-09 -2.3660556039e-09
0.0000000000e+00 -4.5454545455e-02 -1.5000000000e+00 2.3582545749e-09 -2.3617511018e-09
0.0000000000e+00 -1.5151515152e-02 -1.5000000000e+00 2.3592114530e-09 -2.3595999560e-09
0.0000000000e+00 1.5151515152e-02 -1.5000000000e+00 2.3592101839e-09 -2.3595986869e-09
0.0000000000e+00 4.5454545455e-02 -1.5000000000e+00 2.3582507792e-09 -2.3617473061e-09
0.0000000000e+00 7.5757575758e-02 -1.5000000000e+00 2.3563367410e-09 -2.3660493156e-09
0.0000000000e+00 1.0606060606e-01 -1.5000000000e+00 2.3534750269e-09 -2.3725116732e-09
0.0000000000e+00 1.3636363636e-01 -1.5000000000e+00 2.3496759800e-09 -2.3811447217e-09
0.0000000000e+00 1.6666666667e-01 -1.5000000000e+00 2.3449532255e-09 -2.3919620866e-09
0.0000000000e+00 1.9696969697e-01 -1.5000000000e+00 2.3393235374e-09 -2.4049805417e-09
0.0000000000e+00 2.2727272727e-01 -1.5000000000e+00 2.3328066748e-09 -2.4202198462e-09
0.0000000000e+00 2.5757575758e-01 -1.5000000000e+00 2.3254251943e-09 -2.4377025567e-09
0.0000000000e+00 2.8787878788e-01 -1.5000000000e+00 2.3172042395e-09 -2.4574538168e-09
0.0000000000e+00 3.1818181818e-01 -1.5000000000e+00 2.3081713123e-09 -2.4795011283e-09
0.0000000000e+00 3.4848484848e-01 -1.5000000000e+00 2.2983560295e-09 -2.5038741081e-09
0.0000000000e+00 3.7878787879e-01 -1.5000000000e+00 2.2877898692e-09 -2.5306042342e-09
0.0000000000e+00 4.0909090909e-01 -1.5000000000e+00 2.2765059106e-09 -2.5597245860e-09
0.0000000000e+00 4.3939393939e-01 -1.5000000000e+00 2.2645385711e-09 -2.5912695807e-09
0.0000000000e+00 4.6969696970e-01 -1.5000000000e+00 2.2519233444e-09 -2.6252747121e-09
0.0000000000e+00 5.0000000000e-01 -1.5000000000e+00 2.2386965427e-09 -2.6617762924e-09
0.0000000000e+00 5.3030303030e-01 -1.5000000000e+00 2.2248950469e-09 -2.7008112024e-09
0.0000000000e+00 5.6060606061e-01 -1.5000000000e+00 2.2105560663e-09 -2.7424166515e-09
0.0000000000e+00 5.9090909091e-01 -1.5000000000e+00 2.1957169111e-09 -2.7866299500e-09
0.0000000000e+00 6.2121212121e-01 -1.5000000000e+00 2.1804147793e-09 -2.8334882956e-09
0.0000000000e+00 6.5151515152e-01 -1.5000000000e+00 2.1646865591e-09 -2.8830285767e-09
0.0000000000e+00 6.8181818182e-01 -1.5000000000e+00 2.1485686481e-09 -2.9352871909e-09
0.0000000000e+00 7.1212121212e-01 -1.5000000000e+00 2.1320967906e-09 -2.9902998825e-09
0.0000000000e+00 7.4242424242e-01 -1.5000000000e+00 2.1153059327e-09 -3.0481015976e-09
0.0000000000e+00 7.7272727273e-01 -1.5000000000e+00 2.0982300948e-09 -3.1087263565e-09
0.0000000000e+00 8.0303030303e-01 -1.5000000000e+00 2.0809022624e-09 -3.1722071448e-09
0.0000000000e+00 8.3333333333e-01 -1.5000000000e+00 2.0633542943e-09 -3.2385758213e-09
