x,y,z,mass,face_id,layer_id,density_input,mu
1.80632500e-04,2.78517100e-04,9.44611667e-03,4.55192991e+03,1,2,7.95612741e+17,3.03800412e-16
3.01054167e-04,4.64195167e-04,1.57435278e-02,1.23552383e+04,1,3,7.95612741e+17,8.24601118e-16
4.21475833e-04,6.49873233e-04,2.20409389e-02,2.40602010e+04,1,4,7.95612741e+17,1.60580218e-15
5.41897500e-04,8.35551300e-04,2.83383500e-02,3.96668178e+04,1,5,7.95612741e+17,2.64740359e-15
6.62319167e-04,1.02122937e-03,3.46357611e-02,5.91750889e+04,1,6,7.95612741e+17,3.94940535e-15
7.82740833e-04,1.20690743e-03,4.09331722e-02,8.25850141e+04,1,7,7.95612741e+17,5.51180747e-15
9.03162500e-04,1.39258550e-03,4.72305833e-02,1.09896594e+05,1,8,7.95612741e+17,7.33460994e-15
1.02358417e-03,1.57826357e-03,5.35279944e-02,1.41109827e+05,1,9,7.95612741e+17,9.41781277e-15
1.14400583e-03,1.76394163e-03,5.98254056e-02,1.76224715e+05,1,10,7.95612741e+17,1.17614159e-14
1.26442750e-03,1.94961970e-03,6.61228167e-02,2.15241257e+05,1,11,7.95612741e+17,1.43654195e-14
1.38484917e-03,2.13529777e-03,7.24202278e-02,2.58159454e+05,1,12,7.95612741e+17,1.72298234e-14
1.50527083e-03,2.32097583e-03,7.87176389e-02,3.04979304e+05,1,13,7.95612741e+17,2.03546276e-14
1.62569250e-03,2.50665390e-03,8.50150500e-02,3.55700809e+05,1,14,7.95612741e+17,2.37398322e-14
1.74611417e-03,2.69233197e-03,9.13124611e-02,4.10323968e+05,1,15,7.95612741e+17,2.73854371e-14
1.86653583e-03,2.87801003e-03,9.76098722e-02,4.68848781e+05,1,16,7.95612741e+17,3.12914424e-14
1.98695750e-03,3.06368810e-03,1.03907283e-01,5.31275248e+05,1,17,7.95612741e+17,3.54578481e-14
2.10737917e-03,3.24936617e-03,1.10204694e-01,5.97603370e+05,1,18,7.95612741e+17,3.98846541e-14
2.22780083e-03,3.43504423e-03,1.16502106e-01,6.67833146e+05,1,19,7.95612741e+17,4.45718604e-14
2.34822250e-03,3.62072230e-03,1.22799517e-01,7.41964576e+05,1,20,7.95612741e+17,4.95194671e-14
2.46864417e-03,3.80640037e-03,1.29096928e-01,8.19997660e+05,1,21,7.95612741e+17,5.47274742e-14
2.58906583e-03,3.99207843e-03,1.35394339e-01,9.01932398e+05,1,22,7.95612741e+17,6.01958816e-14
2.70948750e-03,4.17775650e-03,1.41691750e-01,9.87768791e+05,1,23,7.95612741e+17,6.59246894e-14
2.82990917e-03,4.36343457e-03,1.47989161e-01,1.07750684e+06,1,24,7.95612741e+17,7.19138975e-14
2.95033083e-03,4.54911263e-03,1.54286572e-01,1.17114654e+06,1,25,7.95612741e+17,7.81635059e-14
3.07075250e-03,4.73479070e-03,1.60583983e-01,1.26868789e+06,1,26,7.95612741e+17,8.46735148e-14
3.19117417e-03,4.92046877e-03,1.66881394e-01,1.37013090e+06,1,27,7.95612741e+17,9.14439240e-14
3.31159583e-03,5.10614683e-03,1.73178806e-01,1.47547557e+06,1,28,7.95612741e+17,9.84747335e-14
3.43201750e-03,5.29182490e-03,1.79476217e-01,1.58472189e+06,1,29,7.95612741e+17,1.05765943e-13
3.55243917e-03,5.47750297e-03,1.85773628e-01,1.69786986e+06,1,30,7.95612741e+17,1.13317554e-13
9.03162500e-05,1.39258550e-04,4.72305833e-03,6.50275702e+02,1,1,7.95612741e+17,4.34000588e-17
-2.72980833e-04,5.68370833e-04,9.50486667e-03,4.52974977e+03,2,2,7.95612741e+17,3.02320087e-16
-4.54968056e-04,9.47284722e-04,1.58414444e-02,1.22950351e+04,2,3,7.95612741e+17,8.20583093e-16
-6.36955278e-04,1.32619861e-03,2.21780222e-02,2.39429631e+04,2,4,7.95612741e+17,1.59797760e-15
-8.18942500e-04,1.70511250e-03,2.85146000e-02,3.94735338e+04,2,5,7.95612741e+17,2.63450361e-15
-1.00092972e-03,2.08402639e-03,3.48511778e-02,5.88867471e+04,2,6,7.95612741e+17,3.93016113e-15
-1.18291694e-03,2.46294028e-03,4.11877556e-02,8.21826031e+04,2,7,7.95612741e+17,5.48495015e-15
-1.36490417e-03,2.84185417e-03,4.75243333e-02,1.09361102e+05,2,8,7.95612741e+17,7.29887067e-15
-1.54689139e-03,3.22076806e-03,5.38609111e-02,1.40422243e+05,2,9,7.95612741e+17,9.37192269e-15
-1.72887861e-03,3.59968194e-03,6.01974889e-02,1.75366027e+05,2,10,7.95612741e+17,1.17041062e-14
-1.91086583e-03,3.97859583e-03,6.65340667e-02,2.14192454e+05,2,11,7.95612741e+17,1.42954213e-14
-2.09285306e-03,4.35750972e-03,7.28706444e-02,2.56901523e+05,2,12,7.95612741e+17,1.71458678e-14
-2.27484028e-03,4.73642361e-03,7.92072222e-02,3.03493235e+05,2,13,7.95612741e+17,2.02554458e-14
-2.45682750e-03,5.11533750e-03,8.55438000e-02,3.53967590e+05,2,14,7.95612741e+17,2.36241554e-14
-2.63881472e-03,5.49425139e-03,9.18803778e-02,4.08324587e+05,2,15,7.95612741e+17,2.72519964e-14
