# x y z potential pseudo_potential
-1.5000000000e+00 -1.5000000000e+00 0.0000000000e+00 1.6711190505e-09 -9.2865545452e-09
-1.4696969697e+00 -1.5000000000e+00 0.0000000000e+00 1.6880677167e-09 -9.1512100416e-09
-1.4393939394e+00 -1.5000000000e+00 0.0000000000e+00 1.7051796426e-09 -9.0191368215e-09
-1.4090909091e+00 -1.5000000000e+00 0.0000000000e+00 1.7224484865e-09 -8.8903285434e-09
-1.3787878788e+00 -1.5000000000e+00 0.0000000000e+00 1.7398671342e-09 -8.7647780931e-09
-1.3484848485e+00 -1.5000000000e+00 0.0000000000e+00 1.7574276520e-09 -8.6424775365e-09
-1.3181818182e+00 -1.5000000000e+00 0.0000000000e+00 1.7751212379e-09 -8.5234180720e-09
-1.2878787879e+00 -1.5000000000e+00 0.0000000000e+00 1.7929381736e-09 -8.4075899812e-09
-1.2575757576e+00 -1.5000000000e+00 0.0000000000e+00 1.8108677753e-09 -8.2949825803e-09
-1.2272727273e+00 -1.5000000000e+00 0.0000000000e+00 1.8288983451e-09 -8.1855841713e-09
-1.1969696970e+00 -1.5000000000e+00 0.0000000000e+00 1.8470171230e-09 -8.0793819942e-09
-1.1666666667e+00 -1.5000000000e+00 0.0000000000e+00 1.8652102402e-09 -7.9763621804e-09
-1.1363636364e+00 -1.5000000000e+00 0.0000000000e+00 1.8834626741e-09 -7.8765097071e-09
-1.1060606061e+00 -1.5000000000e+00 0.0000000000e+00 1.9017582059e-09 -7.7798083556e-09
-1.0757575758e+00 -1.5000000000e+00 0.0000000000e+00 1.9200793812e-09 -7.6862406714e-09
-1.0454545455e+00 -1.5000000000e+00 0.0000000000e+00 1.9384074745e-09 -7.5957879292e-09
-1.0151515152e+00 -1.5000000000e+00 0.0000000000e+00 1.9567224595e-09 -7.5084301025e-09
-9.8484848485e-01 -1.5000000000e+00 0.0000000000e+00 1.9750029837e-09 -7.4241458389e-09
-9.5454545455e-01 -1.5000000000e+00 0.0000000000e+00 1.9932263512e-09 -7.3429124425e-09
-9.2424242424e-01 -1.5000000000e+00 0.0000000000e+00 2.0113685127e-09 -7.2647058639e-09
-8.9393939394e-01 -1.5000000000e+00 0.0000000000e+00 2.0294040646e-09 -7.1895006996e-09
-8.6363636364e-01 -1.5000000000e+00 0.0000000000e+00 2.0473062582e-09 -7.1172702010e-09
-8.3333333333e-01 -1.5000000000e+00 0.0000000000e+00 2.0650470206e-09 -7.0479862949e-09
-8.0303030303e-01 -1.5000000000e+00 0.0000000000e+00 2.0825969872e-09 -6.9816196169e-09
-7.7272727273e-01 -1.5000000000e+00 0.0000000000e+00 2.0999255479e-09 -6.9181395569e-09
-7.4242424242e-01 -1.5000000000e+00 0.0000000000e+00 2.1170009084e-09 -6.8575143206e-09
-7.1212121212e-01 -1.5000000000e+00 0.0000000000e+00 2.1337901664e-09 -6.7997110057e-09
-6.8181818182e-01 -1.5000000000e+00 0.0000000000e+00 2.1502594037e-09 -6.7446956938e-09
-6.5151515152e-01 -1.5000000000e+00 0.0000000000e+00 2.1663737958e-09 -6.6924335608e-09
-6.2121212121e-01 -1.5000000000e+00 0.0000000000e+00 2.1820977387e-09 -6.6428890024e-09
-5.9090909091e-01 -1.5000000000e+00 0.0000000000e+00 2.1973949929e-09 -6.5960257791e-09
-5.6060606061e-01 -1.5000000000e+00 0.0000000000e+00 2.2122288452e-09 -6.5518071778e-09
-5.3030303030e-01 -1.5000000000e+00 0.0000000000e+00 2.2265622871e-09 -6.5101961900e-09
-5.0000000000e-01 -1.5000000000e+00 0.0000000000e+00 2.2403582103e-09 -6.4711557073e-09
-4.6969696970e-01 -1.5000000000e+00 0.0000000000e+00 2.2535796168e-09 -6.4346487319e-09
-4.3939393939e-01 -1.5000000000e+00 0.0000000000e+00 2.2661898434e-09 -6.4006386004e-09
-4.0909090909e-01 -1.5000000000e+00 0.0000000000e+00 2.2781527974e-09 -6.3690892202e-09
-3.7878787879e-01 -1.5000000000e+00 0.0000000000e+00 2.2894332031e-09 -6.3399653155e-09
-3.4848484848e-01 -1.5000000000e+00 0.0000000000e+00 2.2999968546e-09 -6.3132326805e-09
-3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 2.3098108730e-09 -6.2888584364e-09
-2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 2.3188439650e-09 -6.2668112896e-09
-2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 2.3270666783e-09 -6.2470617881e-09
-2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 2.3344516509e-09 -6.2295825696e-09
-1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 2.3409738504e-09 -6.2143486021e-09
-1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 2.3466107996e-09 -6.2013374080e-09
-1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 2.3513427835e-09 -6.1905292726e-09
-1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 2.3551530361e-09 -6.1819074297e-09
-7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 2.3580279016e-09 -6.1754582235e-09
-4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 2.3599569683e-09 -6.1711712425e-09
-1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 2.3609331728e-09 -6.1690394231e-09
1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 2.3609528709e-09 -6.1690591212e-09
4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 2.3600158758e-09 -6.1712301500e-09
7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 2.3581254621e-09 -6.1755557840e-09
1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 2.3552883341e-09 -6.1820427276e-09
1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 2.3515145614e-09 -6.1907010505e-09
1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 2.3468174816e-09 -6.2015440900e-09
1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 2.3412135711e-09 -6.2145883227e-09
2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 2.3347222887e-09 -6.2298532075e-09
2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 2.3273658927e-09 -6.2473610025e-09
2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 2.3191692359e-09 -6.2671365605e-09
3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 2.3101595417e-09 -6.2892071050e-09
3.4848484848e-01 -1.5000000000e+00 0.0000000000e+00 2.3003661654e-09 -6.3136019913e-09
3.7878787879e-01 -1.5000000000e+00 0.0000000000e+00 2.2898203441e-09 -6.3403524565e-09
4.0909090909e-01 -1.5000000000e+00 0.0000000000e+00 2.2785549396e-09 -6.3694913624e-09
