# x y z potential pseudo_potential
-1.5000000000e+00 -1.5000000000e+00 0.0000000000e+00 2.4528131834e-09 -1.0068248678e-08
-1.4696969697e+00 -1.5000000000e+00 0.0000000000e+00 2.4777268882e-09 -9.9408692131e-09
-1.4393939394e+00 -1.5000000000e+00 0.0000000000e+00 2.5028829651e-09 -9.8168401441e-09
-1.4090909091e+00 -1.5000000000e+00 0.0000000000e+00 2.5282722378e-09 -9.6961522948e-09
-1.3787878788e+00 -1.5000000000e+00 0.0000000000e+00 2.5538843963e-09 -9.5787953551e-09
-1.3484848485e+00 -1.5000000000e+00 0.0000000000e+00 2.5797079257e-09 -9.4647578102e-09
-1.3181818182e+00 -1.5000000000e+00 0.0000000000e+00 2.6057300343e-09 -9.3540268684e-09
-1.2878787879e+00 -1.5000000000e+00 0.0000000000e+00 2.6319365810e-09 -9.2465883886e-09
-1.2575757576e+00 -1.5000000000e+00 0.0000000000e+00 2.6583120015e-09 -9.1424268064e-09
-1.2272727273e+00 -1.5000000000e+00 0.0000000000e+00 2.6848392350e-09 -9.0415250611e-09
-1.1969696970e+00 -1.5000000000e+00 0.0000000000e+00 2.7114996521e-09 -8.9438645234e-09
-1.1666666667e+00 -1.5000000000e+00 0.0000000000e+00 2.7382729836e-09 -8.8494249238e-09
-1.1363636364e+00 -1.5000000000e+00 0.0000000000e+00 2.7651372518e-09 -8.7581842848e-09
-1.1060606061e+00 -1.5000000000e+00 0.0000000000e+00 2.7920687059e-09 -8.6701188556e-09
-1.0757575758e+00 -1.5000000000e+00 0.0000000000e+00 2.8190417612e-09 -8.5852030515e-09
-1.0454545455e+00 -1.5000000000e+00 0.0000000000e+00 2.8460289443e-09 -8.5034093990e-09
-1.0151515152e+00 -1.5000000000e+00 0.0000000000e+00 2.8730008453e-09 -8.4247084883e-09
-9.8484848485e-01 -1.5000000000e+00 0.0000000000e+00 2.8999260786e-09 -8.3490689338e-09
-9.5454545455e-01 -1.5000000000e+00 0.0000000000e+00 2.9267712533e-09 -8.2764573446e-09
-9.2424242424e-01 -1.5000000000e+00 0.0000000000e+00 2.9535009560e-09 -8.2068383072e-09
-8.9393939394e-01 -1.5000000000e+00 0.0000000000e+00 2.9800777455e-09 -8.1401743806e-09
-8.6363636364e-01 -1.5000000000e+00 0.0000000000e+00 3.0064621641e-09 -8.0764261069e-09
-8.3333333333e-01 -1.5000000000e+00 0.0000000000e+00 3.0326127643e-09 -8.0155520386e-09
-8.0303030303e-01 -1.5000000000e+00 0.0000000000e+00 3.0584861549e-09 -7.9575087846e-09
-7.7272727273e-01 -1.5000000000e+00 0.0000000000e+00 3.0840370667e-09 -7.9022510757e-09
-7.4242424242e-01 -1.5000000000e+00 0.0000000000e+00 3.1092184404e-09 -7.8497318526e-09
-7.1212121212e-01 -1.5000000000e+00 0.0000000000e+00 3.1339815377e-09 -7.7999023770e-09
-6.8181818182e-01 -1.5000000000e+00 0.0000000000e+00 3.1582760771e-09 -7.7527123672e-09
-6.5151515152e-01 -1.5000000000e+00 0.0000000000e+00 3.1820503947e-09 -7.7081101596e-09
-6.2121212121e-01 -1.5000000000e+00 0.0000000000e+00 3.2052516325e-09 -7.6660428961e-09
-5.9090909091e-01 -1.5000000000e+00 0.0000000000e+00 3.2278259527e-09 -7.6264567389e-09
-5.6060606061e-01 -1.5000000000e+00 0.0000000000e+00 3.2497187790e-09 -7.5892971116e-09
-5.3030303030e-01 -1.5000000000e+00 0.0000000000e+00 3.2708750639e-09 -7.5545089668e-09
-5.0000000000e-01 -1.5000000000e+00 0.0000000000e+00 3.2912395821e-09 -7.5220370792e-09
-4.6969696970e-01 -1.5000000000e+00 0.0000000000e+00 3.3107572463e-09 -7.4918263614e-09
